Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LatitudeRaiz,LongitudeRaiz,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,lat,lon
SWEK,MT0024,Canarana,CANARANA,Mato Grosso,Canarana,Mato Grosso,"13°34'39.0S""","052°16'05.0W""",398,VFR,Sem Operação,18/36,685,18,5700 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,19/04/2030,PA2020-1083,https://pergamum.anac.gov.br/arquivos/PA2020-1083.pdf,-13.5775,-52.268055556
SNBZ,BA0042,Paramirim,PARAMIRIM,Bahia,Paramirim,Bahia,"13°29'26.0S""","042°13'45.0W""",639,VFR,,18/36,1179,25,5700 Kg / 0.50 MPa,Cascalho,,,,,,Interditado,23/06/2030,PA2020-1558,https://pergamum.anac.gov.br/arquivos/PA2020-1558.pdf,-13.490555556,-42.229166667
SILC,MT0025,Aeroporto Municipal Bom Futuro,LUCAS DO RIO VERDE,Mato Grosso,Lucas do Rio Verde,Mato Grosso,"13°02'16.0S""","055°57'01.0W""",414,VFR,VFR,08/26,1730,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,14/11/2029,PA2019-3497,https://pergamum.anac.gov.br/arquivos/PA2019-3497.pdf,-13.037777778,-55.950277778
SSSS,SC0022,São Francisco do Sul,SÃO FRANCISCO DO SUL,Santa Catarina,São Francisco do Sul,Santa Catarina,"26°13'16.0S""","048°33'52.0W""",15,VFR,Sem Operação,18/36,700,35,2500 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,20/05/2030,PA2020-1290,https://pergamum.anac.gov.br/arquivos/PA2020-1290.pdf,-26.221111111,-48.564444444
SNTM,MG0068,Turmalina,TURMALINA,Minas Gerais,Turmalina,Minas Gerais,"17°14'02.0S""","042°44'02.0W""",882,VFR,Sem Operação,01/19,1000,30,2500 Kg / 0.50 MPa,Terra,,,,,,Interditado,,,,-17.233888889,-42.733888889
SWJN,MT0007,Juína,JUÍNA,Mato Grosso,Juína,Mato Grosso,"11°25'10.0S""","058°42'06.0W""",330,VFR,Sem Operação,17/35,1550,30,5500 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,23/09/2020,PA2020-2414,https://pergamum.anac.gov.br/arquivos/PA2020-2414.pdf,-11.419444444,-58.701666667
SSIE,MS0002,Teruel Ipanema Estância,CAMPO GRANDE,Mato Grosso do Sul,Campo Grande,Mato Grosso do Sul,"20°36'14.0S""","054°35'43.0W""",528,VFR,Sem Operação,06/24,1500,30,5700 Kg / 0.50 MPa,Cascalho,,,,,,Cadastrado,23/04/2030,PA2020-1075,https://pergamum.anac.gov.br/arquivos/PA2020-1075.pdf,-20.603888889,-54.595277778
SSGW,PR0037,Manoel Ribas,GOIOERÊ,Paraná,Goioerê,Paraná,"24°13'11.0S""","053°02'38.0W""",491,VFR,Sem Operação,05/23,799,18,8/F/B/Y/U,Asfalto,,,,,,Cadastrado,05/10/2026,PA2019-1478,https://pergamum.anac.gov.br/arquivos/PA2019-1478.pdf,-24.219722222,-53.043888889
SNKN,RN0004,Currais Novos,CURRAIS NOVOS,Rio Grande do Norte,Currais Novos,Rio Grande do Norte,"06°16'51.0S""","036°32'25.0W""",367,VFR,Sem Operação,10/28,1040,30,6/F/B/Y/U,Piçarra,,,,,,Cadastrado,13/04/2020,PA2020-0981,https://pergamum.anac.gov.br/arquivos/PA2020-0981.pdf,-6.280833333,-36.540277778
SIBY,PB0009,Monteiro,MONTEIRO,Paraíba,Monteiro,Paraíba,"07°52'42.0S""","037°08'12.0W""",619,VFR,Sem Operação,14/32,1000,28,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,30/07/2028,PA2018-2329,https://pergamum.anac.gov.br/arquivos/PA2018-2329.pdf,-7.878333333,-37.136666667
SSXD,RS0026,Tobias Bacci,SARANDI,Rio Grande do Sul,Sarandi,Rio Grande do Sul,"27°58'50.0S""","052°51'52.0W""",632,VFR,Sem Operação,15/33,1050,25,8/F/C/Y/U,Terra,,,,,,Cadastrado,21/09/2030,PA2020-2413,https://pergamum.anac.gov.br/arquivos/PA2020-2413.pdf,-27.980555556,-52.864444444
SNRD,BA0048,Prado,PRADO,Bahia,Prado,Bahia,"17°17'49.0S""","039°16'19.0W""",27,VFR,,11/29,1081,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,17/04/2028,PA2018-1208,https://pergamum.anac.gov.br/arquivos/PA2018-1208.pdf,-17.296944444,-39.271944444
SWUZ,GO0025,Brigadeiro Araripe Macedo,LUZIÂNIA,Goiás,Luziânia,Goiás,"16°15'42.0S""","047°58'07.0W""",996,VFR,Sem Operação,11/29,1200,20,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,05/02/2028,PA2018-0339,https://pergamum.anac.gov.br/arquivos/PA2018-0339.pdf,-16.261666667,-47.968611111
SSPN,MS0010,Paranaíba,PARANAÍBA,Mato Grosso do Sul,Paranaíba,Mato Grosso do Sul,"19°39'04.0S""","051°11'58.0W""",442,VFR,,14/32,1320,23,12/F/A/Y/T,Asfalto,,,,,,Cadastrado,26/10/2025,PA2015-2850,https://pergamum.anac.gov.br/arquivos/PA2015-2850.pdf,-19.651111111,-51.199444444
SNYA,PA0024,Aeródromo Público de Almeirim,ALMEIRIM,Pará,Almeirim,Pará,"01°28'45.0S""","052°34'41.0W""",178,VFR,,06/24,1200,30,7/F/B/Y/U,Piçarra,,,,,,Cadastrado,06/03/2025,PA2015-0560,https://pergamum.anac.gov.br/arquivos/PA2015-0560.pdf,-1.479166667,-52.578055556
SNJO,PB0002,Aeroclube de João Pessoa,JOÃO PESSOA,Paraíba,João Pessoa,Paraíba,"07°05'30.0S""","034°50'31.0W""",6,VFR,Sem Operação,15/33,782,18,5000 Kg / 0.50 MPa,Cascalho,,,,,,Interditado,20/04/2028,PA2018-1234,https://pergamum.anac.gov.br/arquivos/PA2018-1234.pdf,-7.091666667,-34.841944444
SJGU,TO0005,Araguatins,ARAGUATINS,Tocantins,Araguatins,Tocantins,"05°41'04.0S""","048°06'56.0W""",125,VFR,VFR,12/30,1500,30,8/F/B/Y/T,Cascalho,,,,,,Interditado,,PD2004-0056,https://pergamum.anac.gov.br/arquivos/PD2004-0056.pdf,-5.684444444,-48.115555556
SNAP,MG0021,Janaúba,JANAÚBA,Minas Gerais,Janaúba,Minas Gerais,"15°43'55.0S""","043°19'23.0W""",532,VFR,Sem Operação,10/28,1500,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,26/10/2030,PA2020-2974,https://pergamum.anac.gov.br/arquivos/PA2020-2974.pdf,-15.731944444,-43.323055556
SNSW,PA0025,Soure,SOURE,Pará,Soure,Pará,"00°41'52.0S""","048°31'10.0W""",13,VFR,,06/24,1100,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,13/10/2025,PA2015-2707,https://pergamum.anac.gov.br/arquivos/PA2015-2707.pdf,-0.697777778,-48.519444444
SBTB,PA0012,Trombetas,ORIXIMINÁ,Pará,Oriximiná,Pará,"01°29'04.0S""","056°23'57.0W""",87,VFR / IFR Não Precisão,VFR / IFR Não Precisão,09/27,1600,30,26/F/A/X/T,Asfalto,,,,,,Cadastrado,,PD1989-0029,https://pergamum.anac.gov.br/arquivos/PD1989-0029.pdf,-1.484444444,-56.399166667
SSOS,RS0042,Osório,OSÓRIO,Rio Grande do Sul,Osório,Rio Grande do Sul,"29°54'08.0S""","050°14'57.0W""",17,VFR,Sem Operação,11/29,950,25,5700 Kg / 0.50 MPa,Saibro,,,,,,Cadastrado,07/05/2030,PA2020-1195,https://pergamum.anac.gov.br/arquivos/PA2020-1195.pdf,-29.902222222,-50.249166667
SSCV,BA0012,Caravelas,CARAVELAS,Bahia,Caravelas,Bahia,"17°39'02.0S""","039°15'16.0W""",11,VFR,Sem Operação,18/36,1150,45,32/F/C/X/U,Asfalto,06/24,1530,45,32/F/C/X/U,Asfalto,Cadastrado,08/01/2026,PA2019-0507,https://pergamum.anac.gov.br/arquivos/PA2019-0507.pdf,-17.650555556,-39.254444444
SSAK,RS0048,Carlos Ruhl,CRUZ ALTA,Rio Grande do Sul,Cruz Alta,Rio Grande do Sul,"28°39'31.0S""","053°36'41.0W""",481,VFR,Sem Operação,08/26,800,42,2500 Kg / 0.50 MPa,Grama,17/35,650,46,2500 Kg / 0.50 MPa,Grama,Cadastrado,28/10/2030,PA2020-2975,https://pergamum.anac.gov.br/arquivos/PA2020-2975.pdf,-28.658611111,-53.611388889
SJQN,GO0006,Quirinópolis,QUIRINÓPOLIS,Goiás,Quirinópolis,Goiás,"18°26'46.0S""","050°24'33.0W""",586,VFR,Sem Operação,13/31,1500,30,10/F/C/Y/T,Asfalto,,,,,,Cadastrado,03/12/2030,PA2020-3471,https://pergamum.anac.gov.br/arquivos/PA2020-3471.pdf,-18.446111111,-50.409166667
SWPY,MT0023,Primavera do Leste,PRIMAVERA DO LESTE,Mato Grosso,Primavera do Leste,Mato Grosso,"15°33'56.0S""","054°20'16.0W""",655,VFR,Sem Operação,01/19,1100,23,5000 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,,PD1993-0545,https://pergamum.anac.gov.br/arquivos/PD1993-0545.pdf,-15.565555556,-54.337777778
SWNR,MT0019,Nortelândia,NORTELÂNDIA,Mato Grosso,Nortelândia,Mato Grosso,"14°29'01.0S""","056°46'02.0W""",445,VFR,Sem Operação,15/33,1200,20,8/F/C/Y/U,Terra,,,,,,Cadastrado,,,,-14.483611111,-56.767222222
SNIO,BA0010,Cipó,CIPÓ,Bahia,Cipó,Bahia,"11°07'31.0S""","038°29'13.0W""",223,VFR,,13/31,1620,27,4/F/B/Y/U,Asfalto,,,,,,Cadastrado,05/08/2025,PA2015-2097,https://pergamum.anac.gov.br/arquivos/PA2015-2097.pdf,-11.125277778,-38.486944444
SNFX,PA0013,São Félix do Xingu,SÃO FÉLIX DO XINGU,Pará,São Félix do Xingu,Pará,"06°38'25.0S""","051°59'24.0W""",200,VFR,Sem Operação,13/31,1600,33,45/F/C/X/U,Asfalto,,,,,,Cadastrado,,PD1978-0043,https://pergamum.anac.gov.br/arquivos/PD1978-0043.pdf,-6.640277778,-51.99
SBMY,AM0015,Manicoré,MANICORÉ,Amazonas,Manicoré,Amazonas,"05°49'01.0S""","061°17'02.0W""",53,VFR,,05/23,1265,30,12/F/C/Y/U,Asfalto,,,,,,Cadastrado,09/09/2021,PA2011-1706,https://pergamum.anac.gov.br/arquivos/PA2011-1706.pdf,-5.816944444,-61.283888889
SSWS,RS0025,Caçapava do Sul,CAÇAPAVA DO SUL,Rio Grande do Sul,Caçapava do Sul,Rio Grande do Sul,"30°32'58.0S""","053°27'33.0W""",400,VFR,Sem Operação,17/35,820,100,8/F/C/Y/U,Terra,08/26,1200,60,8/F/C/Y/U,Terra,Interditado,,,,-30.549444444,-53.459166667
SSBN,RS0002,Belém Novo,PORTO ALEGRE,Rio Grande do Sul,Porto Alegre,Rio Grande do Sul,"30°11'21.0S""","051°10'57.0W""",5,VFR,Sem Operação,09/27,1103,23,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,07/01/2029,PA2019-2615,https://pergamum.anac.gov.br/arquivos/PA2019-2615.pdf,-30.189166667,-51.1825
SNJQ,MG0053,Jequitinhonha,JEQUITINHONHA,Minas Gerais,Jequitinhonha,Minas Gerais,"16°28'20.0S""","041°01'30.0W""",260,VFR,Sem Operação,10/28,1130,23,6/F/C/Z/U,Asfalto,,,,,,Cadastrado,,PD1984-0038,https://pergamum.anac.gov.br/arquivos/PD1984-0038.pdf,-16.472222222,-41.025
SBCI,MA0003,Brigadeiro Lysias Augusto Rodrigues,CAROLINA,Maranhão,Carolina,Maranhão,"07°19'14.0S""","047°27'31.0W""",172,,,11/29,1800,45,18/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PA2006-0233,https://pergamum.anac.gov.br/arquivos/PA2006-0233.pdf,-7.320555556,-47.458611111
SWLB,AM0024,Lábrea,LÁBREA,Amazonas,Lábrea,Amazonas,"07°15'01.0S""","064°47'02.0W""",58,VFR,Sem Operação,18/36,1000,40,7/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD1970-0118,https://pergamum.anac.gov.br/arquivos/PD1970-0118.pdf,-7.250277778,-64.783888889
SNDC,PA0030,Redenção,REDENÇÃO,Pará,Redenção,Pará,"08°01'52.0S""","049°58'47.0W""",207,VFR,Sem Operação,06/24,1350,30,7/F/C/Y/T,Asfalto,,,,,,Cadastrado,06/03/2025,PA2015-0561,https://pergamum.anac.gov.br/arquivos/PA2015-0561.pdf,-8.031111111,-49.979722222
SBAA,PA0008,Conceição do Araguaia,CONCEIÇÃO DO ARAGUAIA,Pará,Conceição do Araguaia,Pará,"08°20'55.0S""","049°18'11.0W""",199,,,08/26,1800,30,47/F/C/X/U,Asfalto,,,,,,Cadastrado,,PD1981-0172,https://pergamum.anac.gov.br/arquivos/PD1981-0172.pdf,-8.348611111,-49.303055556
