Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LatitudeRaiz,LongitudeRaiz,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,lat,lon
SNXQ,BA0018,Xique-Xique,XIQUE-XIQUE,Bahia,Xique-Xique,Bahia,"10°50'03.0S""","042°41'00.0W""",427,VFR,,13/31,1420,20,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,17/09/2024,PA2014-2207,https://pergamum.anac.gov.br/arquivos/PA2014-2207.pdf,-10.834166667,-42.683333333
SWCQ,RO0007,Costa Marques,COSTA MARQUES,Rondônia,Costa Marques,Rondônia,"12°25'18.0S""","064°15'06.0W""",169,VFR,Sem Operação,01/19,1495,20,8/F/B/Y/T,Asfalto,,,,,,Interditado,,PD1985-0317,https://pergamum.anac.gov.br/arquivos/PD1985-0317.pdf,-12.421666667,-64.251666667
SSPL,RS0043,Palmeira das Missões,PALMEIRA DAS MISSÕES,Rio Grande do Sul,Palmeira das Missões,Rio Grande do Sul,"27°54'06.0S""","053°19'44.0W""",635,VFR,Sem Operação,05/23,1000,18,4/F/A/Y/U,Asfalto,,,,,,Cadastrado,,PD1958-0185,https://pergamum.anac.gov.br/arquivos/PD1958-0185.pdf,-27.901666667,-53.328888889
SNOC,BA0059,Morro do Chapéu,MORRO DO CHAPÉU,Bahia,Morro do Chapéu,Bahia,"11°32'04.0S""","041°10'47.0W""",1100,VFR,Sem Operação,15/33,1000,25,7/F/C/Y/U,Cascalho,,,,,,Cadastrado,,PD1966-0130,https://pergamum.anac.gov.br/arquivos/PD1966-0130.pdf,-11.534444444,-41.179722222
SDUB,SP0065,Estadual Gastão Madeira,UBATUBA,São Paulo,Ubatuba,São Paulo,"23°26'29.0S""","045°04'34.0W""",3,VFR,Sem Operação,09/27,940,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,17/04/2030,PA2020-1019,https://pergamum.anac.gov.br/arquivos/PA2020-1019.pdf,-23.441388889,-45.076111111
SWNQ,GO0016,Niquelândia,NIQUELÂNDIA,Goiás,Niquelândia,Goiás,"14°26'11.0S""","048°29'31.0W""",840,VFR,Sem Operação,02/20,1479,18,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,05/01/2031,PA2020-3888,https://pergamum.anac.gov.br/arquivos/PA2020-3888.pdf,-14.436388889,-48.491944444
SDIV,SP0056,Ituverava,ITUVERAVA,São Paulo,Ituverava,São Paulo,"20°22'31.0S""","047°46'07.0W""",623,VFR,Sem Operação,17/35,1350,23,5200 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,09/04/2030,PA2020-0970,https://pergamum.anac.gov.br/arquivos/PA2020-0970.pdf,-20.375277778,-47.768611111
SNAR,MG0033,Cirilo Queiróz,ALMENARA,Minas Gerais,Almenara,Minas Gerais,"16°11'02.0S""","040°40'02.0W""",195,VFR,VFR,07/25,1400,30,8/F/B/Y/U,Asfalto,,,,,,Cadastrado,,PD2005-0707,https://pergamum.anac.gov.br/arquivos/PD2005-0707.pdf,-16.183888889,-40.667222222
SBMD,PA0009,Monte Dourado,ALMEIRIM,Pará,Almeirim,Pará,"00°53'23.0S""","052°36'08.0W""",206,VFR / IFR Não Precisão,VFR / IFR Não Precisão,08/26,1800,30,25/F/A/X/T,Asfalto,,,,,,Cadastrado,31/07/2030,PA2020-1922,https://pergamum.anac.gov.br/arquivos/PA2020-1922.pdf,-0.889722222,-52.602222222
SNRP,MG0066,Rio Paranaíba,RIO PARANAÍBA,Minas Gerais,Rio Paranaíba,Minas Gerais,"19°12'45.0S""","046°14'26.0W""",1145,VFR,Sem Operação,16/34,1000,22,4000 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,13/04/2030,PA2020-0982,https://pergamum.anac.gov.br/arquivos/PA2020-0982.pdf,-19.2125,-46.240555556
SDLY,SP0071,Armando Natali,MATÃO,São Paulo,Matão,São Paulo,"21°37'23.0S""","048°21'09.0W""",635,VFR,Sem Operação,16/34,750,23,8/F/C/Y/U,Terra,,,,,,Cadastrado,,PD1993-0470,https://pergamum.anac.gov.br/arquivos/PD1993-0470.pdf,-21.623055556,-48.3525
SNIP,BA0057,Itapetinga,ITAPETINGA,Bahia,Itapetinga,Bahia,"15°14'40.0S""","040°16'38.0W""",270,VFR,,11/29,1060,29,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,08/10/2024,PA2014-2366,https://pergamum.anac.gov.br/arquivos/PA2014-2366.pdf,-15.244444444,-40.277222222
SSQT,PR0013,Major Neodo S. Pereira,CASTRO,Paraná,Castro,Paraná,"24°48'27.0S""","049°57'37.0W""",1010,VFR,Sem Operação,05/23,1420,30,2500 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,,,,-24.8075,-49.960277778
SSSG,RS0035,São Gabriel,SÃO GABRIEL,Rio Grande do Sul,São Gabriel,Rio Grande do Sul,"30°20'42.0S""","054°16'04.0W""",144,VFR,Sem Operação,05/23,1100,100,8/F/C/Y/U,Terra,,,,,,Cadastrado,,,,-30.345,-54.267777778
SNQG,PI0003,Cangapara,FLORIANO,Piauí,Floriano,Piauí,"06°50'45.0S""","043°04'39.0W""",210,VFR,Sem Operação,16/34,1800,30,6/F/C/Y/U,Asfalto,,,,,,Cadastrado,14/09/2028,PA2018-2843,https://pergamum.anac.gov.br/arquivos/PA2018-2843.pdf,-6.845833333,-43.0775
SSPT,PR0028,Brasílio Marques,PALOTINA,Paraná,Palotina,Paraná,"24°20'36.0S""","053°49'43.0W""",373,VFR,Sem Operação,03/21,1100,18,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,20/11/2029,PA2019-3554,https://pergamum.anac.gov.br/arquivos/PA2019-3554.pdf,-24.343333333,-53.828611111
SNJM,MG0050,Elias Breder,MANHUAÇU,Minas Gerais,Manhuaçu,Minas Gerais,"20°15'35.0S""","042°11'02.0W""",829,VFR,,02/20,1170,30,14/F/B/X/T,Asfalto,,,,,,Cadastrado,28/07/2026,PA2016-1899,https://pergamum.anac.gov.br/arquivos/PA2016-1899.pdf,-20.259722222,-42.183888889
SNZA,MG0038,Pouso Alegre,POUSO ALEGRE,Minas Gerais,Pouso Alegre,Minas Gerais,"22°17'20.0S""","045°55'10.0W""",885,VFR,,01/19,1280,30,14/F/A/Y/T,Asfalto,,,,,,Cadastrado,02/12/2030,PA2020-3470,https://pergamum.anac.gov.br/arquivos/PA2020-3470.pdf,-22.288888889,-45.919444444
SSIR,RS0049,Ibirubá,IBIRUBÁ,Rio Grande do Sul,Ibirubá,Rio Grande do Sul,"28°36'15.0S""","053°04'43.0W""",457,VFR,Sem Operação,11/29,760,18,5000 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,06/09/2026,PA2016-2358,https://pergamum.anac.gov.br/arquivos/PA2016-2358.pdf,-28.604166667,-53.078611111
SNTI,PA0016,Óbidos,ÓBIDOS,Pará,Óbidos,Pará,"01°52'05.0S""","055°30'52.0W""",100,VFR,,10/28,1520,30,9/F/C/Y/U,Asfalto,,,,,,Cadastrado,17/08/2027,PA2017-2710,https://pergamum.anac.gov.br/arquivos/PA2017-2710.pdf,-1.868055556,-55.514444444
SNLI,MG0040,Doutor José Mourão,ABAETÉ,Minas Gerais,Abaeté,Minas Gerais,"19°09'26.0S""","045°29'45.0W""",664,VFR,Sem Operação,17/35,1200,30,5670 Kg / 0.63 MPa,Asfalto,,,,,,Interditado,,PD1998-0497E,https://pergamum.anac.gov.br/arquivos/PD1998-0497E.pdf,-19.157222222,-45.495833333
SNVD,BA0050,Santa Maria da Vitória,SANTA MARIA DA VITÓRIA,Bahia,Santa Maria da Vitória,Bahia,"13°24'17.0S""","044°13'23.0W""",465,VFR,,10/28,1200,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,28/07/2024,PA2014-1706,https://pergamum.anac.gov.br/arquivos/PA2014-1706.pdf,-13.404722222,-44.223055556
SSLT,RS0022,Gaudêncio Machado Ramos,ALEGRETE,Rio Grande do Sul,Alegrete,Rio Grande do Sul,"29°48'45.0S""","055°53'36.0W""",125,VFR,,15/33,1200,18,6/F/B/X/T,Asfalto,,,,,,Cadastrado,23/09/2030,PA2020-2417,https://pergamum.anac.gov.br/arquivos/PA2020-2417.pdf,-29.8125,-55.893333333
SNVC,MG0074,Viçosa,VIÇOSA,Minas Gerais,Viçosa,Minas Gerais,"20°44'41.0S""","042°50'31.0W""",659,VFR,,17/35,900,30,5000 Kg / 5.00 MPa,Asfalto,,,,,,Cadastrado,,,,-20.744722222,-42.841944444
SSRE,PR0030,Realeza,REALEZA,Paraná,Realeza,Paraná,"25°48'04.0S""","053°30'47.0W""",501,VFR,,06/24,1200,18,6/F/B/Y/T,Asfalto,,,,,,Cadastrado,15/10/2023,PA2013-2699,https://pergamum.anac.gov.br/arquivos/PA2013-2699.pdf,-25.801111111,-53.513055556
SDOV,GO0005,Mozarlândia,MOZARLÂNDIA,Goiás,Mozarlândia,Goiás,"14°46'08.0S""","050°33'54.0W""",328,VFR,Sem Operação,17/35,1500,30,20/F/B/Y/T,Asfalto,,,,,,Interditado,07/04/2030,PA2020-0972,https://pergamum.anac.gov.br/arquivos/PA2020-0972.pdf,-14.768888889,-50.565
SNAB,PE0009,Araripina,ARARIPINA,Pernambuco,Araripina,Pernambuco,"07°35'11.0S""","040°32'07.0W""",669,VFR,Sem Operação,13/31,1247,26,4/F/A/X/T,Asfalto,,,,,,Cadastrado,16/10/2028,PA2018-3128,https://pergamum.anac.gov.br/arquivos/PA2018-3128.pdf,-7.586388889,-40.535277778
SDLL,SP0048,Yolanda Penteado,LEME,São Paulo,Leme,São Paulo,"22°13'37.0S""","047°22'56.0W""",617,VFR,Sem Operação,08/26,1150,18,7/F/B/X/U,Asfalto,,,,,,Cadastrado,,,,-22.226944444,-47.382222222
SNMR,BA0065,Maraú,MARAÚ,Bahia,Maraú,Bahia,"14°07'02.0S""","038°59'02.0W""",20,VFR,Sem Operação,12/30,800,30,5000 Kg / 0.50 MPa,Areia,,,,,,Interditado,,,,-14.117222222,-38.983888889
SNFO,MG0060,Formiga,FORMIGA,Minas Gerais,Formiga,Minas Gerais,"20°23'43.0S""","045°29'12.0W""",1017,VFR,,02/20,1030,23,8/F/C/Y/U,Cascalho,,,,,,Cadastrado,18/01/2026,PA2016-0079,https://pergamum.anac.gov.br/arquivos/PA2016-0079.pdf,-20.395277778,-45.486666667
SWKQ,PI0004,Serra da Capivara/São Raimundo Nonato,SÃO RAIMUNDO NONATO,Piauí,São Raimundo Nonato,Piauí,"09°04'58.0S""","042°38'40.0W""",415,VFR,VFR,16/34,1650,45,34/F/B/X/T,Asfalto,,,,,,Cadastrado,05/08/2025,PA2015-2098,https://pergamum.anac.gov.br/arquivos/PA2015-2098.pdf,-9.082777778,-42.644444444
SBMS,RN0002,Aeroporto Dix-Sept Rosado,MOSSORÓ,Rio Grande do Norte,Mossoró,Rio Grande do Norte,"05°11'45.0S""","037°21'42.0W""",23,VFR / IFR Não Precisão,VFR / IFR Não Precisão,05/23,2000,30,31/F/B/X/T,Asfalto,,,,,,Cadastrado,31/01/2021,PA2011-0163,https://pergamum.anac.gov.br/arquivos/PA2011-0163.pdf,-5.195833333,-37.361666667
SBRP,SP0004,Leite Lopes,RIBEIRÃO PRETO,São Paulo,Ribeirão Preto,São Paulo,"21°08'11.0S""","047°46'36.0W""",550,,,18/36,2100,45,26/F/B/X/T,Asfalto,,,,,,Cadastrado,,PD1991-0240,https://pergamum.anac.gov.br/arquivos/PD1991-0240.pdf,-21.136388889,-47.776666667
SNUI,MG0045,Araçuaí,ARAÇUAÍ,Minas Gerais,Araçuaí,Minas Gerais,"16°51'07.0S""","042°02'46.0W""",360,VFR,Sem Operação,09/27,1200,30,10/F/B/Y/T,Asfalto,,,,,,Cadastrado,,PD1983-0173,https://pergamum.anac.gov.br/arquivos/PD1983-0173.pdf,-16.851944444,-42.046111111
SDXF,GO0020,Alto Paraíso de Goiás,ALTO PARAÍSO DE GOIÁS,Goiás,Alto Paraíso de Goiás,Goiás,"14°07'09.0S""","047°31'49.0W""",1345,VFR,,09/27,1080,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,07/05/2028,PA2018-1383,https://pergamum.anac.gov.br/arquivos/PA2018-1383.pdf,-14.119166667,-47.530277778
SDLC,SP0039,Lucélia,LUCÉLIA,São Paulo,Lucélia,São Paulo,"21°44'58.0S""","051°01'06.0W""",450,VFR,Sem Operação,09/27,1032,36,5600 Kg / 0.62 MPa,Grama,,,,,,Cadastrado,09/04/2030,PA2020-0971,https://pergamum.anac.gov.br/arquivos/PA2020-0971.pdf,-21.749444444,-51.018333333
SSER,RS0018,Erechim,ERECHIM,Rio Grande do Sul,Erechim,Rio Grande do Sul,"27°39'36.0S""","052°16'34.0W""",761,VFR,VFR,14/32,1280,30,11/F/B/X/U,Asfalto,,,,,,Cadastrado,13/08/2028,PA2018-2449,https://pergamum.anac.gov.br/arquivos/PA2018-2449.pdf,-27.66,-52.276111111
SSJI,MS0019,Jardim,JARDIM,Mato Grosso do Sul,Jardim,Mato Grosso do Sul,"21°29'34.0S""","056°09'10.0W""",321,VFR,Sem Operação,18/36,950,18,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD1999-0246,https://pergamum.anac.gov.br/arquivos/PD1999-0246.pdf,-21.492777778,-56.152777778
SWIQ,GO0019,Minaçu,MINAÇU,Goiás,Minaçu,Goiás,"13°33'02.0S""","048°12'02.0W""",427,VFR / IFR Não Precisão,VFR,05/23,1275,30,7/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PA2011-2418,https://pergamum.anac.gov.br/arquivos/PA2011-2418.pdf,-13.550555556,-48.200555556
SNGG,PI0007,Bom Jesus do Gurguéia,BOM JESUS,Piauí,Bom Jesus,Piauí,"09°03'34.0S""","044°22'09.0W""",338,VFR,Sem Operação,16/34,1200,20,9/F/C/Y/U,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1085,https://pergamum.anac.gov.br/arquivos/PA2020-1085.pdf,-9.059444444,-44.369166667
SWTO,TO0008,Paraíso do Tocantins,PARAÍSO DO TOCANTINS,Tocantins,Paraíso do Tocantins,Tocantins,"10°10'26.0S""","048°55'58.0W""",353,VFR,Sem Operação,10/28,1200,30,20/F/C/X/U,Asfalto,,,,,,Cadastrado,20/05/2030,PA2020-1298,https://pergamum.anac.gov.br/arquivos/PA2020-1298.pdf,-10.173888889,-48.932777778
SSEE,RS0054,Regional do Vale do Taquari,ESTRELA,Rio Grande do Sul,Estrela,Rio Grande do Sul,"29°27'12.0S""","051°56'03.0W""",32,VFR,Sem Operação,06/24,570,18,4000 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,05/09/2027,PA2017-3024,https://pergamum.anac.gov.br/arquivos/PA2017-3024.pdf,-29.453333333,-51.934166667
SNSM,PA0029,Salinópolis,SALINÓPOLIS,Pará,Salinópolis,Pará,"00°41'49.0S""","047°20'16.0W""",27,VFR,Sem Operação,09/27,1000,25,5700 Kg / 0.50 MPa,Asfalto,,,,,,Interditado,,PD1999-0432,https://pergamum.anac.gov.br/arquivos/PD1999-0432.pdf,-0.696944444,-47.337777778
SSRS,MA0008,Barreirinhas,BARREIRINHAS,Maranhão,Barreirinhas,Maranhão,"02°45'24.0S""","042°48'16.0W""",4,VFR,,11/29,1500,30,71/F/A/Y/T,Asfalto,,,,,,Cadastrado,27/01/2024,PA2014-0211,https://pergamum.anac.gov.br/arquivos/PA2014-0211.pdf,-2.756666667,-42.804444444
SSJK,RS0028,Júlio de Castilhos,TUPANCIRETÃ,Rio Grande do Sul,Júlio de Castilhos,Rio Grande do Sul,"29°09'11.0S""","053°44'36.0W""",498,VFR,,12/30,1190,30,8/F/C/Y/U,Grama,,,,,,Interditado,20/05/2030,PA2020-1301,https://pergamum.anac.gov.br/arquivos/PA2020-1301.pdf,-29.153055556,-53.743333333
SICB,PB0007,Pedro Simões Pimenta,CUITÉ,Paraíba,Cuité,Paraíba,"06°29'15.0S""","036°08'24.0W""",652,VFR,Sem Operação,10/28,1150,30,5700 Kg / 0.50 MPa,Terra,,,,,,Interditado,,PD2001-1494,https://pergamum.anac.gov.br/arquivos/PD2001-1494.pdf,-6.4875,-36.14
SNRM,BA0022,Remanso,REMANSO,Bahia,Remanso,Bahia,"09°34'48.0S""","042°06'57.0W""",405,VFR,,11/29,1350,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,26/02/2026,PA2016-0401,https://pergamum.anac.gov.br/arquivos/PA2016-0401.pdf,-9.58,-42.115833333
SDMJ,SP0022,Mogi Mirim,MOGI MIRIM,São Paulo,Moji Mirim,São Paulo,"22°24'36.0S""","046°54'17.0W""",693,VFR,Sem Operação,12/30,1500,30,5600 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,,PD1995-0484,https://pergamum.anac.gov.br/arquivos/PD1995-0484.pdf,-22.41,-46.904722222
SNKF,MG0071,Das Bandeirinhas,CONSELHEIRO LAFAIETE,Minas Gerais,Conselheiro Lafaiete,Minas Gerais,"20°44'19.0S""","043°47'53.0W""",1057,VFR,Sem Operação,04/22,902,24,9/F/C/Y/U,Asfalto,,,,,,Cadastrado,16/10/2028,PA2018-3126,https://pergamum.anac.gov.br/arquivos/PA2018-3126.pdf,-20.738611111,-43.798055556
SNUC,RN0003,Açu,AÇU,Rio Grande do Norte,Açu,Rio Grande do Norte,"05°35'42.0S""","036°57'39.0W""",111,VFR,Sem Operação,11/29,1500,14,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,23/02/2026,PA2016-0351,https://pergamum.anac.gov.br/arquivos/PA2016-0351.pdf,-5.595,-36.960833333
SNSI,MG0076,Santa Maria do Suaçuí,JOSÉ RAYDAN,Minas Gerais,Santa Maria do Suaçuí,Minas Gerais,"18°11'55.0S""","042°27'58.0W""",480,VFR,Sem Operação,03/21,800,35,2500 Kg / 0.50 MPa,Terra,,,,,,Interditado,,,,-18.198611111,-42.466111111
SDPD,SP0072,Pindamonhangaba,PINDAMONHANGABA,São Paulo,Pindamonhangaba,São Paulo,"22°56'38.0S""","045°25'55.0W""",574,VFR,Sem Operação,06/24,750,30,5600 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,18/09/2030,PA2020-2410,https://pergamum.anac.gov.br/arquivos/PA2020-2410.pdf,-22.943888889,-45.431944444
SJAU,TO0007,Araguacema,ARAGUACEMA,Tocantins,Araguacema,Tocantins,"08°50'16.0S""","049°33'28.0W""",207,VFR,Sem Operação,12/30,1400,30,6/F/A/Y/T,Asfalto,,,,,,Interditado,,PD2004-0057,https://pergamum.anac.gov.br/arquivos/PD2004-0057.pdf,-8.837777778,-49.557777778
SDEP,SP0052,Geraldo Moacir Bordon,PRESIDENTE EPITÁCIO,São Paulo,Presidente Epitácio,São Paulo,"21°46'32.0S""","052°09'47.0W""",297,VFR,Sem Operação,05/23,1010,18,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD1994-0545,https://pergamum.anac.gov.br/arquivos/PD1994-0545.pdf,-21.775555556,-52.163055556
SDTP,SP0025,José Vicente Faria Lima,TUPÃ,São Paulo,Tupã,São Paulo,"21°53'24.0S""","050°30'21.0W""",550,VFR,VFR,06/24,1500,35,33/F/B/X/T,Asfalto,,,,,,Cadastrado,02/02/2028,PA2018-0305,https://pergamum.anac.gov.br/arquivos/PA2018-0305.pdf,-21.89,-50.505833333
SJNP,PA0026,Novo Progresso,NOVO PROGRESSO,Pará,Novo Progresso,Pará,"07°07'33.0S""","055°24'03.0W""",231,VFR,,17/35,1200,24,5700 Kg / 0.50 MPa,Piçarra,,,,,,Cadastrado,,,,-7.125833333,-55.400833333
SBEK,PA0011,Jacareacanga,JACAREACANGA,Pará,Jacareacanga,Pará,"06°14'07.0S""","057°46'33.0W""",99,VFR / IFR Não Precisão,,08/26,1600,30,36/F/B/Y/U,Asfalto,,,,,,Cadastrado,,PD1984-0200,https://pergamum.anac.gov.br/arquivos/PD1984-0200.pdf,-6.235277778,-57.775833333
SSVL,PR0007,Telêmaco Borba,TELÊMACO BORBA,Paraná,Telêmaco Borba,Paraná,"24°18'59.0S""","050°39'08.0W""",796,VFR,Sem Operação,02/20,1800,30,24/F/B/X/T,Asfalto,,,,,,Cadastrado,12/12/2029,PA2019-3818,https://pergamum.anac.gov.br/arquivos/PA2019-3818.pdf,-24.316388889,-50.652222222
SWME,GO0033,Mineiros,MINEIROS,Goiás,Mineiros,Goiás,"17°33'07.0S""","052°33'22.0W""",825,VFR,Sem Operação,18/36,1000,18,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,,,,-17.551944444,-52.556111111
SSVN,RS0030,Veranópolis,VERANÓPOLIS,Rio Grande do Sul,Veranópolis,Rio Grande do Sul,"28°56'08.0S""","051°34'04.0W""",676,VFR,Sem Operação,12/30,1000,18,3700 Kg / 0.50 MPa,Saibro,,,,,,Cadastrado,14/09/2028,PA2018-2841,https://pergamum.anac.gov.br/arquivos/PA2018-2841.pdf,-28.935555556,-51.567777778
SSNB,MS0015,Ariosto da Riva,NAVIRAÍ,Mato Grosso do Sul,Naviraí,Mato Grosso do Sul,"23°02'29.0S""","054°11'06.0W""",405,VFR,Sem Operação,09/27,1200,23,10/F/B/Y/T,Asfalto,,,,,,Cadastrado,,PD1997-0377,https://pergamum.anac.gov.br/arquivos/PD1997-0377.pdf,-23.041388889,-54.185
SNPQ,PE0010,Pesqueira,PESQUEIRA,Pernambuco,Pesqueira,Pernambuco,"08°22'27.0S""","036°38'16.0W""",630,VFR,Sem Operação,10/28,1000,20,8/F/C/Y/U,Terra,,,,,,Interditado,17/04/2027,PA2017-1243,https://pergamum.anac.gov.br/arquivos/PA2017-1243.pdf,-8.374166667,-36.637777778
SBTC,BA0067,Hotel Transamérica,UNA,Bahia,,,"15°21'12.0S""","038°59'50.0W""",7,VFR / IFR Não Precisão,VFR / IFR Não Precisão,02/20,2000,30,40/F/C/X/T,Asfalto,,,,,,Cadastrado,26/02/2031,PA2021-4337,https://pergamum.anac.gov.br/arquivos/PA2021-4337.pdf,-15.353333333,-38.997222222
SBNV,GO0002,Aeródromo Nacional de Aviação,GOIÂNIA,Goiás,Goiânia,Goiás,"16°37'32.0S""","049°20'58.0W""",831,VFR,Sem Operação,14/32,1100,20,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,21/02/2029,PA2019-0537,https://pergamum.anac.gov.br/arquivos/PA2019-0537.pdf,-16.625555556,-49.349444444
SDTB,SP0069,Atibaia,ATIBAIA,São Paulo,Atibaia,São Paulo,"23°07'42.0S""","046°34'29.0W""",797,VFR,,02/20,800,30,5000 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,13/05/2024,PA2014-1106,https://pergamum.anac.gov.br/arquivos/PA2014-1106.pdf,-23.128333333,-46.574722222
SWOB,AM0014,Fonte Boa,FONTE BOA,Amazonas,Fonte Boa,Amazonas,"02°32'01.0S""","066°04'02.0W""",63,VFR,Sem Operação,18/36,1270,27,6/F/C/Y/U,Asfalto,,,,,,Interditado,,,,-2.533611111,-66.067222222
SBSM,RS0003,Santa Maria,SANTA MARIA,Rio Grande do Sul,Santa Maria,Rio Grande do Sul,"29°42'39.0S""","053°41'32.0W""",88,,,11/29,2700,45,20/R/B/X/T,Concreto,02/20,1400,30,10/F/C/Y/U,Asfalto,Cadastrado,,PD1981-0204,https://pergamum.anac.gov.br/arquivos/PD1981-0204.pdf,-29.710833333,-53.692222222
SDAE,SP0053,São Pedro,SÃO PEDRO,São Paulo,São Pedro,São Paulo,"22°35'01.0S""","047°53'46.0W""",566,VFR,Sem Operação,14/32,1000,25,5600 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,17/04/2030,PA2020-1021,https://pergamum.anac.gov.br/arquivos/PA2020-1021.pdf,-22.583611111,-47.896111111
SSNP,RS0041,Nova Prata,NOVA PRATA,Rio Grande do Sul,Nova Prata,Rio Grande do Sul,"28°48'09.0S""","051°36'15.0W""",690,VFR,Sem Operação,13/31,1000,30,5/F/B/Y/U,Terra,,,,,,Cadastrado,,PD1985-0068COMAR,https://pergamum.anac.gov.br/arquivos/PD1985-0068COMAR.pdf,-28.8025,-51.604166667
SWPG,MT0010,Porto dos Gaúchos,NOVO HORIZONTE DO NORTE,Mato Grosso,Porto dos Gaúchos,Mato Grosso,"11°31'01.0S""","057°20'02.0W""",400,VFR,Sem Operação,01/19,1500,60,13/F/C/Y/U,Terra,,,,,,Interditado,,,,-11.516944444,-57.333888889
SNIU,BA0030,Ipiaú,IPIAÚ,Bahia,Ipiaú,Bahia,"14°10'24.0S""","039°41'03.0W""",132,VFR,,15/33,1300,20,6/F/C/Z/U,Asfalto,,,,,,Cadastrado,08/10/2024,PA2014-2365,https://pergamum.anac.gov.br/arquivos/PA2014-2365.pdf,-14.173333333,-39.684166667
SDLK,BA0040,Caculé,CACULÉ,Bahia,Caculé,Bahia,"14°28'52.0S""","042°15'53.0W""",662,VFR,Sem Operação,13/31,1200,20,8/F/B/Y/U,Asfalto,,,,,,Cadastrado,05/02/2026,PA2016-0240,https://pergamum.anac.gov.br/arquivos/PA2016-0240.pdf,-14.481111111,-42.264722222
SBCH,SC0003,Serafin Enoss Bertaso,CHAPECÓ,Santa Catarina,Chapecó,Santa Catarina,"27°08'02.0S""","052°39'43.0W""",654,VFR / IFR Não Precisão,VFR / IFR Não Precisão,11/29,2063,45,45/F/B/X/T,Asfalto,,,,,,Cadastrado,,PA2012-1357,https://pergamum.anac.gov.br/arquivos/PA2012-1357.pdf,-27.133888889,-52.661944444
SDAG,RJ0010,Angra Dos Reis,ANGRA DOS REIS,Rio de Janeiro,Angra dos Reis,Rio de Janeiro,"22°58'31.0S""","044°18'26.0W""",3,VFR,Sem Operação,10/28,913,30,14/F/B/Y/T,Asfalto,,,,,,Cadastrado,14/09/2028,PA2018-2842,https://pergamum.anac.gov.br/arquivos/PA2018-2842.pdf,-22.975277778,-44.307222222
SWBR,AM0018,Borba,BORBA,Amazonas,Borba,Amazonas,"04°24'31.0S""","059°35'52.0W""",90,VFR,Sem Operação,12/30,1200,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,,,,-4.408611111,-59.597777778
SBMO,AL0001,Zumbi dos Palmares,MACEIÓ,Alagoas,Maceió,Alagoas,"09°31'02.0S""","035°47'01.0W""",118,VFR / IFR - CAT I,VFR / IFR - CAT I,12/30,2602,45,46/F/A/X/T,Asfalto,,,,,,Cadastrado,,PD2006-0362,https://pergamum.anac.gov.br/arquivos/PD2006-0362.pdf,-9.517222222,-35.783611111
SNMA,PA0019,Monte Alegre,MONTE ALEGRE,Pará,Monte Alegre,Pará,"01°59'48.0S""","054°04'17.0W""",99,VFR,Sem Operação,10/28,1425,30,9/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD1973-0043,https://pergamum.anac.gov.br/arquivos/PD1973-0043.pdf,-1.996666667,-54.071388889
SNKK,RN0005,Caicó,CAICÓ,Rio Grande do Norte,Caicó,Rio Grande do Norte,"06°26'21.0S""","037°04'41.0W""",182,VFR,,14/32,980,30,12/F/B/Y/U,Asfalto,,,,,,Cadastrado,24/09/2025,PA2015-2499,https://pergamum.anac.gov.br/arquivos/PA2015-2499.pdf,-6.439166667,-37.078055556
