Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	Latitude	Longitude	LatitudeRaiz	Lat Raiz	Lat 60	Lat 3600	LongitudeRaiz	Lon Raiz	Lon 60	Lon 3600	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria
SDKK	SP0058	Mococa	MOCOCA	São Paulo	Mococa	São Paulo	-21.487222222	-47.033888889	21°29'14.0S"	21.000000000	0.483333333	0.003888889	047°02'02.0W"	47.000000000	0.033333333	0.000555556	651	VFR		04/22	1000	30	8/F/C/Y/U	Terra						Interditado	04/11/2023	PA2013-2824	https://pergamum.anac.gov.br/arquivos/PA2013-2824.pdf
SNPX	MG0028	Pirapora	PIRAPORA	Minas Gerais	Pirapora	Minas Gerais	-17.313888889	-44.858611111	17°18'50.0S"	17.000000000	0.300000000	0.013888889	044°51'31.0W"	44.000000000	0.850000000	0.008611111	551	VFR	Sem Operação	10/28	1480	30	10/F/B/Y/U	Asfalto						Cadastrado	19/04/2030	PA2020-1087	https://pergamum.anac.gov.br/arquivos/PA2020-1087.pdf
SWPK	MT0021	Poconé	POCONÉ	Mato Grosso	Poconé	Mato Grosso	-16.271666667	-56.651111111	16°16'18.0S"	16.000000000	0.266666667	0.005000000	056°39'04.0W"	56.000000000	0.650000000	0.001111111	187	VFR		01/19	1150	23	5700 Kg / 0.50 MPa	Cascalho						Cadastrado	17/10/2026	PA2016-2706	https://pergamum.anac.gov.br/arquivos/PA2016-2706.pdf
SDCG	AM0016	Senadora Eunice Michiles	SÃO PAULO DE OLIVENÇA	Amazonas	São Paulo de Olivença	Amazonas	-3.470555556	-68.924166667	03°28'14.0S"	3.000000000	0.466666667	0.003888889	068°55'27.0W"	68.000000000	0.916666667	0.007500000	102	VFR	Sem Operação	04/22	1200	23	6/R/B/Y/T	Concreto						Cadastrado	29/05/2028	PA2018-1632	https://pergamum.anac.gov.br/arquivos/PA2018-1632.pdf
SNZR	MG0026	Pedro Rabelo de Souza	PARACATU	Minas Gerais	Paracatu	Minas Gerais	-17.243055556	-46.881388889	17°14'35.0S"	17.000000000	0.233333333	0.009722222	046°52'53.0W"	46.000000000	0.866666667	0.014722222	730	VFR	Sem Operação	11/29	1500	30	11/F/C/Y/T	Asfalto						Cadastrado	16/10/2028	PA2018-3129	https://pergamum.anac.gov.br/arquivos/PA2018-3129.pdf
SDET	SP0067	Tietê	TIETÊ	São Paulo	Tietê	São Paulo	-23.104722222	-47.724444444	23°06'17.0S"	23.000000000	0.100000000	0.004722222	047°43'28.0W"	47.000000000	0.716666667	0.007777778	501	VFR	Sem Operação	02/20	850	30	5000 Kg / 0.50 MPa	Terra						Cadastrado	23/09/2030	PA2020-2412	https://pergamum.anac.gov.br/arquivos/PA2020-2412.pdf
SNBM	MG0051	Cristiano Ferreira Varella	MURIAÉ	Minas Gerais	Muriaé	Minas Gerais	-21.128888889	-42.366944444	21°07'44.0S"	21.000000000	0.116666667	0.012222222	042°22'01.0W"	42.000000000	0.366666667	0.000277778	270	VFR	Sem Operação	12/30	1140	23	12/F/B/Y/T	Asfalto						Cadastrado	23/06/2020	PA2020-1561	https://pergamum.anac.gov.br/arquivos/PA2020-1561.pdf
SSCT	PR0025	Engenheiro Gastão de Mesquita Filho	CIANORTE	Paraná	Cianorte	Paraná	-23.691666667	-52.642222222	23°41'30.0S"	23.000000000	0.683333333	0.008333333	052°38'32.0W"	52.000000000	0.633333333	0.008888889	539	VFR	VFR	04/22	1200	23	5700 Kg / 0.62 MPa	Asfalto						Cadastrado	21/01/2026	PA2016-0114	https://pergamum.anac.gov.br/arquivos/PA2016-0114.pdf
SNGB	PI0011	Gilbués	GILBUÉS	Piauí	Gilbués	Piauí	-9.833611111	-45.367222222	09°50'01.0S"	9.000000000	0.833333333	0.000277778	045°22'02.0W"	45.000000000	0.366666667	0.000555556	450	VFR	Sem Operação	09/27	1000	30	8/F/C/Y/U	Terra						Interditado			
SNEE	RS0004	Vacaria Novo	VACARIA	Rio Grande do Sul	Vacaria	Rio Grande do Sul	-28.431944444	-51.022777778	28°25'55.0S"	28.000000000	0.416666667	0.015277778	051°01'22.0W"	51.000000000	0.016666667	0.006111111	900	VFR		11/29	2020	30	32/F/A/X/T	Asfalto						Cadastrado	13/01/2024	PA2014-0071	https://pergamum.anac.gov.br/arquivos/PA2014-0071.pdf
