Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	Latitude	Longitude	LatitudeRaiz	Lat Raiz	Lat 60	Lat 3600	LongitudeRaiz	Lon Raiz	Lon 60	Lon 3600	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria
SIBY	PB0009	Monteiro	MONTEIRO	Paraíba	Monteiro	Paraíba	-7.878333333	-37.136666667	07°52'42.0S"	7.000000000	0.866666667	0.011666667	037°08'12.0W"	37.000000000	0.133333333	0.003333333	619	VFR	Sem Operação	14/32	1000	28	8/F/C/Y/U	Asfalto						Cadastrado	30/07/2028	PA2018-2329	https://pergamum.anac.gov.br/arquivos/PA2018-2329.pdf
SSXD	RS0026	Tobias Bacci	SARANDI	Rio Grande do Sul	Sarandi	Rio Grande do Sul	-27.980555556	-52.864444444	27°58'50.0S"	27.000000000	0.966666667	0.013888889	052°51'52.0W"	52.000000000	0.850000000	0.014444444	632	VFR	Sem Operação	15/33	1050	25	8/F/C/Y/U	Terra						Cadastrado	21/09/2030	PA2020-2413	https://pergamum.anac.gov.br/arquivos/PA2020-2413.pdf
SNRD	BA0048	Prado	PRADO	Bahia	Prado	Bahia	-17.296944444	-39.271944444	17°17'49.0S"	17.000000000	0.283333333	0.013611111	039°16'19.0W"	39.000000000	0.266666667	0.005277778	27	VFR		11/29	1081	30	8/F/C/Y/U	Asfalto						Cadastrado	17/04/2028	PA2018-1208	https://pergamum.anac.gov.br/arquivos/PA2018-1208.pdf
SWUZ	GO0025	Brigadeiro Araripe Macedo	LUZIÂNIA	Goiás	Luziânia	Goiás	-16.261666667	-47.968611111	16°15'42.0S"	16.000000000	0.250000000	0.011666667	047°58'07.0W"	47.000000000	0.966666667	0.001944444	996	VFR	Sem Operação	11/29	1200	20	8/F/C/Y/U	Asfalto						Cadastrado	05/02/2028	PA2018-0339	https://pergamum.anac.gov.br/arquivos/PA2018-0339.pdf
SSPN	MS0010	Paranaíba	PARANAÍBA	Mato Grosso do Sul	Paranaíba	Mato Grosso do Sul	-19.651111111	-51.199444444	19°39'04.0S"	19.000000000	0.650000000	0.001111111	051°11'58.0W"	51.000000000	0.183333333	0.016111111	442	VFR		14/32	1320	23	12/F/A/Y/T	Asfalto						Cadastrado	26/10/2025	PA2015-2850	https://pergamum.anac.gov.br/arquivos/PA2015-2850.pdf
SNYA	PA0024	Aeródromo Público de Almeirim	ALMEIRIM	Pará	Almeirim	Pará	-1.479166667	-52.578055556	01°28'45.0S"	1.000000000	0.466666667	0.012500000	052°34'41.0W"	52.000000000	0.566666667	0.011388889	178	VFR		06/24	1200	30	7/F/B/Y/U	Piçarra						Cadastrado	06/03/2025	PA2015-0560	https://pergamum.anac.gov.br/arquivos/PA2015-0560.pdf
SNJO	PB0002	Aeroclube de João Pessoa	JOÃO PESSOA	Paraíba	João Pessoa	Paraíba	-7.091666667	-34.841944444	07°05'30.0S"	7.000000000	0.083333333	0.008333333	034°50'31.0W"	34.000000000	0.833333333	0.008611111	6	VFR	Sem Operação	15/33	782	18	5000 Kg / 0.50 MPa	Cascalho						Interditado	20/04/2028	PA2018-1234	https://pergamum.anac.gov.br/arquivos/PA2018-1234.pdf
SJGU	TO0005	Araguatins	ARAGUATINS	Tocantins	Araguatins	Tocantins	-5.684444444	-48.115555556	05°41'04.0S"	5.000000000	0.683333333	0.001111111	048°06'56.0W"	48.000000000	0.100000000	0.015555556	125	VFR	VFR	12/30	1500	30	8/F/B/Y/T	Cascalho						Interditado		PD2004-0056	https://pergamum.anac.gov.br/arquivos/PD2004-0056.pdf
SNAP	MG0021	Janaúba	JANAÚBA	Minas Gerais	Janaúba	Minas Gerais	-15.731944444	-43.323055556	15°43'55.0S"	15.000000000	0.716666667	0.015277778	043°19'23.0W"	43.000000000	0.316666667	0.006388889	532	VFR	Sem Operação	10/28	1500	30	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	26/10/2030	PA2020-2974	https://pergamum.anac.gov.br/arquivos/PA2020-2974.pdf
SNSW	PA0025	Soure	SOURE	Pará	Soure	Pará	-0.697777778	-48.519444444	00°41'52.0S"	0.000000000	0.683333333	0.014444444	048°31'10.0W"	48.000000000	0.516666667	0.002777778	13	VFR		06/24	1100	30	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	13/10/2025	PA2015-2707	https://pergamum.anac.gov.br/arquivos/PA2015-2707.pdf
SBTB	PA0012	Trombetas	ORIXIMINÁ	Pará	Oriximiná	Pará	-1.484444444	-56.399166667	01°29'04.0S"	1.000000000	0.483333333	0.001111111	056°23'57.0W"	56.000000000	0.383333333	0.015833333	87	VFR / IFR Não Precisão	VFR / IFR Não Precisão	09/27	1600	30	26/F/A/X/T	Asfalto						Cadastrado		PD1989-0029	https://pergamum.anac.gov.br/arquivos/PD1989-0029.pdf
SSOS	RS0042	Osório	OSÓRIO	Rio Grande do Sul	Osório	Rio Grande do Sul	-29.902222222	-50.249166667	29°54'08.0S"	29.000000000	0.900000000	0.002222222	050°14'57.0W"	50.000000000	0.233333333	0.015833333	17	VFR	Sem Operação	11/29	950	25	5700 Kg / 0.50 MPa	Saibro						Cadastrado	07/05/2030	PA2020-1195	https://pergamum.anac.gov.br/arquivos/PA2020-1195.pdf
SSCV	BA0012	Caravelas	CARAVELAS	Bahia	Caravelas	Bahia	-17.650555556	-39.254444444	17°39'02.0S"	17.000000000	0.650000000	0.000555556	039°15'16.0W"	39.000000000	0.250000000	0.004444444	11	VFR	Sem Operação	18/36	1150	45	32/F/C/X/U	Asfalto	06/24	1530	45	32/F/C/X/U	Asfalto	Cadastrado	08/01/2026	PA2019-0507	https://pergamum.anac.gov.br/arquivos/PA2019-0507.pdf
SSAK	RS0048	Carlos Ruhl	CRUZ ALTA	Rio Grande do Sul	Cruz Alta	Rio Grande do Sul	-28.658611111	-53.611388889	28°39'31.0S"	28.000000000	0.650000000	0.008611111	053°36'41.0W"	53.000000000	0.600000000	0.011388889	481	VFR	Sem Operação	08/26	800	42	2500 Kg / 0.50 MPa	Grama	17/35	650	46	2500 Kg / 0.50 MPa	Grama	Cadastrado	28/10/2030	PA2020-2975	https://pergamum.anac.gov.br/arquivos/PA2020-2975.pdf
SJQN	GO0006	Quirinópolis	QUIRINÓPOLIS	Goiás	Quirinópolis	Goiás	-18.446111111	-50.409166667	18°26'46.0S"	18.000000000	0.433333333	0.012777778	050°24'33.0W"	50.000000000	0.400000000	0.009166667	586	VFR	Sem Operação	13/31	1500	30	10/F/C/Y/T	Asfalto						Cadastrado	03/12/2030	PA2020-3471	https://pergamum.anac.gov.br/arquivos/PA2020-3471.pdf
SWPY	MT0023	Primavera do Leste	PRIMAVERA DO LESTE	Mato Grosso	Primavera do Leste	Mato Grosso	-15.565555556	-54.337777778	15°33'56.0S"	15.000000000	0.550000000	0.015555556	054°20'16.0W"	54.000000000	0.333333333	0.004444444	655	VFR	Sem Operação	01/19	1100	23	5000 Kg / 0.50 MPa	Terra						Cadastrado		PD1993-0545	https://pergamum.anac.gov.br/arquivos/PD1993-0545.pdf
SWNR	MT0019	Nortelândia	NORTELÂNDIA	Mato Grosso	Nortelândia	Mato Grosso	-14.483611111	-56.767222222	14°29'01.0S"	14.000000000	0.483333333	0.000277778	056°46'02.0W"	56.000000000	0.766666667	0.000555556	445	VFR	Sem Operação	15/33	1200	20	8/F/C/Y/U	Terra						Cadastrado			
SNIO	BA0010	Cipó	CIPÓ	Bahia	Cipó	Bahia	-11.125277778	-38.486944444	11°07'31.0S"	11.000000000	0.116666667	0.008611111	038°29'13.0W"	38.000000000	0.483333333	0.003611111	223	VFR		13/31	1620	27	4/F/B/Y/U	Asfalto						Cadastrado	05/08/2025	PA2015-2097	https://pergamum.anac.gov.br/arquivos/PA2015-2097.pdf
SNFX	PA0013	São Félix do Xingu	SÃO FÉLIX DO XINGU	Pará	São Félix do Xingu	Pará	-6.640277778	-51.990000000	06°38'25.0S"	6.000000000	0.633333333	0.006944444	051°59'24.0W"	51.000000000	0.983333333	0.006666667	200	VFR	Sem Operação	13/31	1600	33	45/F/C/X/U	Asfalto						Cadastrado		PD1978-0043	https://pergamum.anac.gov.br/arquivos/PD1978-0043.pdf
SBMY	AM0015	Manicoré	MANICORÉ	Amazonas	Manicoré	Amazonas	-5.816944444	-61.283888889	05°49'01.0S"	5.000000000	0.816666667	0.000277778	061°17'02.0W"	61.000000000	0.283333333	0.000555556	53	VFR		05/23	1265	30	12/F/C/Y/U	Asfalto						Cadastrado	09/09/2021	PA2011-1706	https://pergamum.anac.gov.br/arquivos/PA2011-1706.pdf
SSWS	RS0025	Caçapava do Sul	CAÇAPAVA DO SUL	Rio Grande do Sul	Caçapava do Sul	Rio Grande do Sul	-30.549444444	-53.459166667	30°32'58.0S"	30.000000000	0.533333333	0.016111111	053°27'33.0W"	53.000000000	0.450000000	0.009166667	400	VFR	Sem Operação	17/35	820	100	8/F/C/Y/U	Terra	08/26	1200	60	8/F/C/Y/U	Terra	Interditado			
SSBN	RS0002	Belém Novo	PORTO ALEGRE	Rio Grande do Sul	Porto Alegre	Rio Grande do Sul	-30.189166667	-51.182500000	30°11'21.0S"	30.000000000	0.183333333	0.005833333	051°10'57.0W"	51.000000000	0.166666667	0.015833333	5	VFR	Sem Operação	09/27	1103	23	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	07/01/2029	PA2019-2615	https://pergamum.anac.gov.br/arquivos/PA2019-2615.pdf
SNJQ	MG0053	Jequitinhonha	JEQUITINHONHA	Minas Gerais	Jequitinhonha	Minas Gerais	-16.472222222	-41.025000000	16°28'20.0S"	16.000000000	0.466666667	0.005555556	041°01'30.0W"	41.000000000	0.016666667	0.008333333	260	VFR	Sem Operação	10/28	1130	23	6/F/C/Z/U	Asfalto						Cadastrado		PD1984-0038	https://pergamum.anac.gov.br/arquivos/PD1984-0038.pdf
SBCI	MA0003	Brigadeiro Lysias Augusto Rodrigues	CAROLINA	Maranhão	Carolina	Maranhão	-7.320555556	-47.458611111	07°19'14.0S"	7.000000000	0.316666667	0.003888889	047°27'31.0W"	47.000000000	0.450000000	0.008611111	172			11/29	1800	45	18/F/C/Y/U	Asfalto						Cadastrado		PA2006-0233	https://pergamum.anac.gov.br/arquivos/PA2006-0233.pdf
SWLB	AM0024	Lábrea	LÁBREA	Amazonas	Lábrea	Amazonas	-7.250277778	-64.783888889	07°15'01.0S"	7.000000000	0.250000000	0.000277778	064°47'02.0W"	64.000000000	0.783333333	0.000555556	58	VFR	Sem Operação	18/36	1000	40	7/F/C/Y/U	Asfalto						Cadastrado		PD1970-0118	https://pergamum.anac.gov.br/arquivos/PD1970-0118.pdf
SNDC	PA0030	Redenção	REDENÇÃO	Pará	Redenção	Pará	-8.031111111	-49.979722222	08°01'52.0S"	8.000000000	0.016666667	0.014444444	049°58'47.0W"	49.000000000	0.966666667	0.013055556	207	VFR	Sem Operação	06/24	1350	30	7/F/C/Y/T	Asfalto						Cadastrado	06/03/2025	PA2015-0561	https://pergamum.anac.gov.br/arquivos/PA2015-0561.pdf
SBAA	PA0008	Conceição do Araguaia	CONCEIÇÃO DO ARAGUAIA	Pará	Conceição do Araguaia	Pará	-8.348611111	-49.303055556	08°20'55.0S"	8.000000000	0.333333333	0.015277778	049°18'11.0W"	49.000000000	0.300000000	0.003055556	199			08/26	1800	30	47/F/C/X/U	Asfalto						Cadastrado		PD1981-0172	https://pergamum.anac.gov.br/arquivos/PD1981-0172.pdf
SNPA	MG0052	Pará de Minas	PARÁ DE MINAS	Minas Gerais	Pará de Minas	Minas Gerais	-19.842500000	-44.600833333	19°50'33.0S"	19.000000000	0.833333333	0.009166667	044°36'03.0W"	44.000000000	0.600000000	0.000833333	839	VFR		12/30	1140	23	8/F/C/Y/U	Asfalto						Cadastrado	13/06/2028	PA2018-1756	https://pergamum.anac.gov.br/arquivos/PA2018-1756.pdf
SBAR	SE0001	Santa Maria	ARACAJU	Sergipe	Aracaju	Sergipe	-10.985277778	-37.073333333	10°59'07.0S"	10.000000000	0.983333333	0.001944444	037°04'24.0W"	37.000000000	0.066666667	0.006666667	7	VFR / IFR Não Precisão	VFR / IFR Não Precisão	12/30	2200	45	48/F/B/X/T	Asfalto						Cadastrado	23/12/2030	PA2020-3773	https://pergamum.anac.gov.br/arquivos/PA2020-3773.pdf
SSAQ	RS0036	Aeroclube de Passo Fundo	PASSO FUNDO	Rio Grande do Sul	Passo Fundo	Rio Grande do Sul	-28.250555556	-52.516666667	28°15'02.0S"	28.000000000	0.250000000	0.000555556	052°31'00.0W"	52.000000000	0.516666667	0.000000000	600	VFR	Sem Operação	15/33	1080	35	5700 Kg / 0.50 MPa	Grama	17/35	940	18	5700 Kg / 0.50 MPa	Grama	Cadastrado	16/02/2028	PA2018-0468	https://pergamum.anac.gov.br/arquivos/PA2018-0468.pdf
SWFN	AM0002	Flores	MANAUS	Amazonas	Manaus	Amazonas	-3.072777778	-60.021111111	03°04'22.0S"	3.000000000	0.066666667	0.006111111	060°01'16.0W"	60.000000000	0.016666667	0.004444444	62	VFR		11/29	830	30	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	10/05/2027	PA2017-1581	https://pergamum.anac.gov.br/arquivos/PA2017-1581.pdf
SNMN	MG0075	Minas Novas	MINAS NOVAS	Minas Gerais	Minas Novas	Minas Gerais	-17.233888889	-42.583888889	17°14'02.0S"	17.000000000	0.233333333	0.000555556	042°35'02.0W"	42.000000000	0.583333333	0.000555556	750	VFR	Sem Operação	15/33	800	20	2500 Kg / 0.50 MPa	Asfalto						Interditado			
SSJA	SC0014	Santa Terezinha	JOAÇABA	Santa Catarina	Joaçaba	Santa Catarina	-27.172777778	-51.551666667	27°10'22.0S"	27.000000000	0.166666667	0.006111111	051°33'06.0W"	51.000000000	0.550000000	0.001666667	776	VFR	VFR	15/33	1260	18	10/F/C/Y/U	Asfalto						Cadastrado	13/08/2028	PA2018-2444	https://pergamum.anac.gov.br/arquivos/PA2018-2444.pdf
SWCB	GO0023	Campos Belos	CAMPOS BELOS	Goiás	Campos Belos	Goiás	-13.006944444	-46.710833333	13°00'25.0S"	13.000000000	0.000000000	0.006944444	046°42'39.0W"	46.000000000	0.700000000	0.010833333	690	VFR	Sem Operação	18/36	1200	20	2500 Kg / 0.50 MPa	Asfalto						Cadastrado	03/12/2030	PA2020-3558	https://pergamum.anac.gov.br/arquivos/PA2020-3558.pdf
SWNH	GO0017	Aruanã	ARUANÃ	Goiás	Aruanã	Goiás	-14.933055556	-51.048333333	14°55'59.0S"	14.000000000	0.916666667	0.016388889	051°02'54.0W"	51.000000000	0.033333333	0.015000000	250	VFR		06/24	1300	23	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	23/04/2030	PA2020-1082	https://pergamum.anac.gov.br/arquivos/PA2020-1082.pdf
SNOF	MG0057	Ouro Fino	OURO FINO	Minas Gerais	Ouro Fino	Minas Gerais	-22.297500000	-46.393333333	22°17'51.0S"	22.000000000	0.283333333	0.014166667	046°23'36.0W"	46.000000000	0.383333333	0.010000000	859	VFR	Sem Operação	06/24	1080	50	2500 Kg / 0.50 MPa	Grama						Cadastrado			
SNMZ	PA0020	Porto de Moz	PORTO DE MOZ	Pará	Porto de Moz	Pará	-1.741388889	-52.235833333	01°44'29.0S"	1.000000000	0.733333333	0.008055556	052°14'09.0W"	52.000000000	0.233333333	0.002500000	16	VFR		05/23	1270	28	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	09/08/2027	PA2017-2640	https://pergamum.anac.gov.br/arquivos/PA2017-2640.pdf
SDXJ	MS0017	Costa Rica	COSTA RICA	Mato Grosso do Sul	Costa Rica	Mato Grosso do Sul	-18.491388889	-53.168333333	18°29'29.0S"	18.000000000	0.483333333	0.008055556	053°10'06.0W"	53.000000000	0.166666667	0.001666667	738	VFR		09/27	1160	23	10/F/B/Y/T	Asfalto						Cadastrado	18/08/2025	PA2015-2207	https://pergamum.anac.gov.br/arquivos/PA2015-2207.pdf
SNCS	CE0009	Campos Sales	CAMPOS SALES	Ceará	Campos Sales	Ceará	-7.049444444	-40.364166667	07°02'58.0S"	7.000000000	0.033333333	0.016111111	040°21'51.0W"	40.000000000	0.350000000	0.014166667	610	VFR	Sem Operação	11/29	1200	30	17/F/A/X/T	Asfalto						Cadastrado		PD2004-0367	https://pergamum.anac.gov.br/arquivos/PD2004-0367.pdf
SNED	BA0023	Sócrates Rezende	CANAVIEIRAS	Bahia	Canavieiras	Bahia	-15.666388889	-38.955277778	15°39'59.0S"	15.000000000	0.650000000	0.016388889	038°57'19.0W"	38.000000000	0.950000000	0.005277778	6	VFR		14/32	1340	30	5700 Kg / 0.50 MPa	Asfalto						Interditado	26/04/2027	PA2017-1349	https://pergamum.anac.gov.br/arquivos/PA2017-1349.pdf
SNXQ	BA0018	Xique-Xique	XIQUE-XIQUE	Bahia	Xique-Xique	Bahia	-10.834166667	-42.683333333	10°50'03.0S"	10.000000000	0.833333333	0.000833333	042°41'00.0W"	42.000000000	0.683333333	0.000000000	427	VFR		13/31	1420	20	8/F/C/Y/U	Asfalto						Cadastrado	17/09/2024	PA2014-2207	https://pergamum.anac.gov.br/arquivos/PA2014-2207.pdf
SWCQ	RO0007	Costa Marques	COSTA MARQUES	Rondônia	Costa Marques	Rondônia	-12.421666667	-64.251666667	12°25'18.0S"	12.000000000	0.416666667	0.005000000	064°15'06.0W"	64.000000000	0.250000000	0.001666667	169	VFR	Sem Operação	01/19	1495	20	8/F/B/Y/T	Asfalto						Interditado		PD1985-0317	https://pergamum.anac.gov.br/arquivos/PD1985-0317.pdf
SSPL	RS0043	Palmeira das Missões	PALMEIRA DAS MISSÕES	Rio Grande do Sul	Palmeira das Missões	Rio Grande do Sul	-27.901666667	-53.328888889	27°54'06.0S"	27.000000000	0.900000000	0.001666667	053°19'44.0W"	53.000000000	0.316666667	0.012222222	635	VFR	Sem Operação	05/23	1000	18	4/F/A/Y/U	Asfalto						Cadastrado		PD1958-0185	https://pergamum.anac.gov.br/arquivos/PD1958-0185.pdf
SNOC	BA0059	Morro do Chapéu	MORRO DO CHAPÉU	Bahia	Morro do Chapéu	Bahia	-11.534444444	-41.179722222	11°32'04.0S"	11.000000000	0.533333333	0.001111111	041°10'47.0W"	41.000000000	0.166666667	0.013055556	1100	VFR	Sem Operação	15/33	1000	25	7/F/C/Y/U	Cascalho						Cadastrado		PD1966-0130	https://pergamum.anac.gov.br/arquivos/PD1966-0130.pdf
SDUB	SP0065	Estadual Gastão Madeira	UBATUBA	São Paulo	Ubatuba	São Paulo	-23.441388889	-45.076111111	23°26'29.0S"	23.000000000	0.433333333	0.008055556	045°04'34.0W"	45.000000000	0.066666667	0.009444444	3	VFR	Sem Operação	09/27	940	30	8/F/C/Y/U	Asfalto						Cadastrado	17/04/2030	PA2020-1019	https://pergamum.anac.gov.br/arquivos/PA2020-1019.pdf
SWNQ	GO0016	Niquelândia	NIQUELÂNDIA	Goiás	Niquelândia	Goiás	-14.436388889	-48.491944444	14°26'11.0S"	14.000000000	0.433333333	0.003055556	048°29'31.0W"	48.000000000	0.483333333	0.008611111	840	VFR	Sem Operação	02/20	1479	18	8/F/C/Y/U	Asfalto						Cadastrado	05/01/2031	PA2020-3888	https://pergamum.anac.gov.br/arquivos/PA2020-3888.pdf
SDIV	SP0056	Ituverava	ITUVERAVA	São Paulo	Ituverava	São Paulo	-20.375277778	-47.768611111	20°22'31.0S"	20.000000000	0.366666667	0.008611111	047°46'07.0W"	47.000000000	0.766666667	0.001944444	623	VFR	Sem Operação	17/35	1350	23	5200 Kg / 0.50 MPa	Asfalto						Cadastrado	09/04/2030	PA2020-0970	https://pergamum.anac.gov.br/arquivos/PA2020-0970.pdf
SNAR	MG0033	Cirilo Queiróz	ALMENARA	Minas Gerais	Almenara	Minas Gerais	-16.183888889	-40.667222222	16°11'02.0S"	16.000000000	0.183333333	0.000555556	040°40'02.0W"	40.000000000	0.666666667	0.000555556	195	VFR	VFR	07/25	1400	30	8/F/B/Y/U	Asfalto						Cadastrado		PD2005-0707	https://pergamum.anac.gov.br/arquivos/PD2005-0707.pdf
SBMD	PA0009	Monte Dourado	ALMEIRIM	Pará	Almeirim	Pará	-0.889722222	-52.602222222	00°53'23.0S"	0.000000000	0.883333333	0.006388889	052°36'08.0W"	52.000000000	0.600000000	0.002222222	206	VFR / IFR Não Precisão	VFR / IFR Não Precisão	08/26	1800	30	25/F/A/X/T	Asfalto						Cadastrado	31/07/2030	PA2020-1922	https://pergamum.anac.gov.br/arquivos/PA2020-1922.pdf
SNRP	MG0066	Rio Paranaíba	RIO PARANAÍBA	Minas Gerais	Rio Paranaíba	Minas Gerais	-19.212500000	-46.240555556	19°12'45.0S"	19.000000000	0.200000000	0.012500000	046°14'26.0W"	46.000000000	0.233333333	0.007222222	1145	VFR	Sem Operação	16/34	1000	22	4000 Kg / 0.50 MPa	Terra						Cadastrado	13/04/2030	PA2020-0982	https://pergamum.anac.gov.br/arquivos/PA2020-0982.pdf
SDLY	SP0071	Armando Natali	MATÃO	São Paulo	Matão	São Paulo	-21.623055556	-48.352500000	21°37'23.0S"	21.000000000	0.616666667	0.006388889	048°21'09.0W"	48.000000000	0.350000000	0.002500000	635	VFR	Sem Operação	16/34	750	23	8/F/C/Y/U	Terra						Cadastrado		PD1993-0470	https://pergamum.anac.gov.br/arquivos/PD1993-0470.pdf
SNIP	BA0057	Itapetinga	ITAPETINGA	Bahia	Itapetinga	Bahia	-15.244444444	-40.277222222	15°14'40.0S"	15.000000000	0.233333333	0.011111111	040°16'38.0W"	40.000000000	0.266666667	0.010555556	270	VFR		11/29	1060	29	8/F/C/Y/U	Asfalto						Cadastrado	08/10/2024	PA2014-2366	https://pergamum.anac.gov.br/arquivos/PA2014-2366.pdf
SSQT	PR0013	Major Neodo S. Pereira	CASTRO	Paraná	Castro	Paraná	-24.807500000	-49.960277778	24°48'27.0S"	24.000000000	0.800000000	0.007500000	049°57'37.0W"	49.000000000	0.950000000	0.010277778	1010	VFR	Sem Operação	05/23	1420	30	2500 Kg / 0.50 MPa	Terra						Cadastrado			
SSSG	RS0035	São Gabriel	SÃO GABRIEL	Rio Grande do Sul	São Gabriel	Rio Grande do Sul	-30.345000000	-54.267777778	30°20'42.0S"	30.000000000	0.333333333	0.011666667	054°16'04.0W"	54.000000000	0.266666667	0.001111111	144	VFR	Sem Operação	05/23	1100	100	8/F/C/Y/U	Terra						Cadastrado			
SNQG	PI0003	Cangapara	FLORIANO	Piauí	Floriano	Piauí	-6.845833333	-43.077500000	06°50'45.0S"	6.000000000	0.833333333	0.012500000	043°04'39.0W"	43.000000000	0.066666667	0.010833333	210	VFR	Sem Operação	16/34	1800	30	6/F/C/Y/U	Asfalto						Cadastrado	14/09/2028	PA2018-2843	https://pergamum.anac.gov.br/arquivos/PA2018-2843.pdf
SSPT	PR0028	Brasílio Marques	PALOTINA	Paraná	Palotina	Paraná	-24.343333333	-53.828611111	24°20'36.0S"	24.000000000	0.333333333	0.010000000	053°49'43.0W"	53.000000000	0.816666667	0.011944444	373	VFR	Sem Operação	03/21	1100	18	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	20/11/2029	PA2019-3554	https://pergamum.anac.gov.br/arquivos/PA2019-3554.pdf
SNJM	MG0050	Elias Breder	MANHUAÇU	Minas Gerais	Manhuaçu	Minas Gerais	-20.259722222	-42.183888889	20°15'35.0S"	20.000000000	0.250000000	0.009722222	042°11'02.0W"	42.000000000	0.183333333	0.000555556	829	VFR		02/20	1170	30	14/F/B/X/T	Asfalto						Cadastrado	28/07/2026	PA2016-1899	https://pergamum.anac.gov.br/arquivos/PA2016-1899.pdf
SNZA	MG0038	Pouso Alegre	POUSO ALEGRE	Minas Gerais	Pouso Alegre	Minas Gerais	-22.288888889	-45.919444444	22°17'20.0S"	22.000000000	0.283333333	0.005555556	045°55'10.0W"	45.000000000	0.916666667	0.002777778	885	VFR		01/19	1280	30	14/F/A/Y/T	Asfalto						Cadastrado	02/12/2030	PA2020-3470	https://pergamum.anac.gov.br/arquivos/PA2020-3470.pdf
SSIR	RS0049	Ibirubá	IBIRUBÁ	Rio Grande do Sul	Ibirubá	Rio Grande do Sul	-28.604166667	-53.078611111	28°36'15.0S"	28.000000000	0.600000000	0.004166667	053°04'43.0W"	53.000000000	0.066666667	0.011944444	457	VFR	Sem Operação	11/29	760	18	5000 Kg / 0.50 MPa	Grama						Cadastrado	06/09/2026	PA2016-2358	https://pergamum.anac.gov.br/arquivos/PA2016-2358.pdf
SNTI	PA0016	Óbidos	ÓBIDOS	Pará	Óbidos	Pará	-1.868055556	-55.514444444	01°52'05.0S"	1.000000000	0.866666667	0.001388889	055°30'52.0W"	55.000000000	0.500000000	0.014444444	100	VFR		10/28	1520	30	9/F/C/Y/U	Asfalto						Cadastrado	17/08/2027	PA2017-2710	https://pergamum.anac.gov.br/arquivos/PA2017-2710.pdf
SNLI	MG0040	Doutor José Mourão	ABAETÉ	Minas Gerais	Abaeté	Minas Gerais	-19.157222222	-45.495833333	19°09'26.0S"	19.000000000	0.150000000	0.007222222	045°29'45.0W"	45.000000000	0.483333333	0.012500000	664	VFR	Sem Operação	17/35	1200	30	5670 Kg / 0.63 MPa	Asfalto						Interditado		PD1998-0497E	https://pergamum.anac.gov.br/arquivos/PD1998-0497E.pdf
SNVD	BA0050	Santa Maria da Vitória	SANTA MARIA DA VITÓRIA	Bahia	Santa Maria da Vitória	Bahia	-13.404722222	-44.223055556	13°24'17.0S"	13.000000000	0.400000000	0.004722222	044°13'23.0W"	44.000000000	0.216666667	0.006388889	465	VFR		10/28	1200	30	8/F/C/Y/U	Asfalto						Cadastrado	28/07/2024	PA2014-1706	https://pergamum.anac.gov.br/arquivos/PA2014-1706.pdf
SSLT	RS0022	Gaudêncio Machado Ramos	ALEGRETE	Rio Grande do Sul	Alegrete	Rio Grande do Sul	-29.812500000	-55.893333333	29°48'45.0S"	29.000000000	0.800000000	0.012500000	055°53'36.0W"	55.000000000	0.883333333	0.010000000	125	VFR		15/33	1200	18	6/F/B/X/T	Asfalto						Cadastrado	23/09/2030	PA2020-2417	https://pergamum.anac.gov.br/arquivos/PA2020-2417.pdf
SNVC	MG0074	Viçosa	VIÇOSA	Minas Gerais	Viçosa	Minas Gerais	-20.744722222	-42.841944444	20°44'41.0S"	20.000000000	0.733333333	0.011388889	042°50'31.0W"	42.000000000	0.833333333	0.008611111	659	VFR		17/35	900	30	5000 Kg / 5.00 MPa	Asfalto						Cadastrado			
SSRE	PR0030	Realeza	REALEZA	Paraná	Realeza	Paraná	-25.801111111	-53.513055556	25°48'04.0S"	25.000000000	0.800000000	0.001111111	053°30'47.0W"	53.000000000	0.500000000	0.013055556	501	VFR		06/24	1200	18	6/F/B/Y/T	Asfalto						Cadastrado	15/10/2023	PA2013-2699	https://pergamum.anac.gov.br/arquivos/PA2013-2699.pdf
SDOV	GO0005	Mozarlândia	MOZARLÂNDIA	Goiás	Mozarlândia	Goiás	-14.768888889	-50.565000000	14°46'08.0S"	14.000000000	0.766666667	0.002222222	050°33'54.0W"	50.000000000	0.550000000	0.015000000	328	VFR	Sem Operação	17/35	1500	30	20/F/B/Y/T	Asfalto						Interditado	07/04/2030	PA2020-0972	https://pergamum.anac.gov.br/arquivos/PA2020-0972.pdf
