Código OACI;CIAD;Nome;Município;UF;Município Servido;UF Servido;Latitude;Longitude;LatitudeRaiz;LongitudeRaiz;Altitude;Operação Diurna;Operação Noturna;Designação 1;Comprimento 1;Largura 1;Resistência 1;Superfície 1;Designação 2;Comprimento 2;Largura 2;Resistência 2;Superfície 2;Situação;Validade do Registro;Portaria de Registro;Link Portaria
SBTG;MS0006;Três Lagoas;TRÊS LAGOAS;Mato Grosso do Sul;Três Lagoas;Mato Grosso do Sul;-20751388889;-51680277778;"20°45'05.0S""";"051°40'49.0W""";323;VFR;VFR;07/25;2000;30;33/F/B/X/T;Asfalto;;;;;;Cadastrado;04/09/2023;PA2019-2140;https://pergamum.anac.gov.br/arquivos/PA2019-2140.pdf
SSKG;MS0003;Estância Santa Maria;CAMPO GRANDE;Mato Grosso do Sul;Campo Grande;Mato Grosso do Sul;-20505555556;-54524722222;"20°30'20.0S""";"054°31'29.0W""";618;VFR;;06/24;1500;23;5600 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;26/05/2030;PA2020-1390;https://pergamum.anac.gov.br/arquivos/PA2020-1390.pdf
SWJW;GO0008;Jataí;JATAÍ;Goiás;Jataí;Goiás;-17830000000;-51775277778;"17°49'48.0S""";"051°46'31.0W""";771;VFR;VFR;13/31;1500;23;10/F/B/X/U;Asfalto;;;;;;Cadastrado;23/09/2030;PA2020-2415;https://pergamum.anac.gov.br/arquivos/PA2020-2415.pdf
SNOU;AC0003;Novo Aeródromo de Feijó;FEIJÓ;Acre;Feijó;Acre;-8141388889;-70340833333;"08°08'29.0S""";"070°20'27.0W""";168;VFR;Sem Operação;03/21;1200;24;5500 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;23/04/2030;PA2020-1089;https://pergamum.anac.gov.br/arquivos/PA2020-1089.pdf
SBGW;SP0076;Guaratinguetá;GUARATINGUETÁ;São Paulo;Guaratinguetá;São Paulo;-22791666667;-45204444444;"22°47'30.0S""";"045°12'16.0W""";537;VFR / IFR Não Precisão;VFR / IFR Não Precisão;02/20;1551;30;15/F/C/Y/U;Asfalto;;;;;;Cadastrado;17/04/2030;PA2020-1020;https://pergamum.anac.gov.br/arquivos/PA2020-1020.pdf
SSCI;MS0012;Coxim;COXIM;Mato Grosso do Sul;Coxim;Mato Grosso do Sul;-18481388889;-54715833333;"18°28'53.0S""";"054°42'57.0W""";292;VFR;Sem Operação;02/20;1300;23;13/F/A/X/T;Asfalto;;;;;;Cadastrado;;PD2003-0667;https://pergamum.anac.gov.br/arquivos/PD2003-0667.pdf
SWXM;MT0014;Regional Orlando Villas Boas;MATUPÁ;Mato Grosso;Matupá;Mato Grosso;-10170277778;-54952777778;"10°10'13.0S""";"054°57'10.0W""";283;VFR;Sem Operação;02/20;1482;18;5700 Kg / 0.50 MPa;Cascalho;;;;;;Cadastrado;;PA2009-0107;https://pergamum.anac.gov.br/arquivos/PA2009-0107.pdf
SSMJ;MS0020;Maracaju;MARACAJU;Mato Grosso do Sul;Maracaju;Mato Grosso do Sul;-21633888889;-55145000000;"21°38'02.0S""";"055°08'42.0W""";390;VFR;Sem Operação;01/19;800;30;5600 Kg / 0.50 MPa;Grama;;;;;;Cadastrado;07/05/2030;PA2020-1196;https://pergamum.anac.gov.br/arquivos/PA2020-1196.pdf
SSIQ;RS0045;Itaqui;ITAQUI;Rio Grande do Sul;Itaqui;Rio Grande do Sul;-29171944444;-56538333333;"29°10'19.0S""";"056°32'18.0W""";84;VFR;Sem Operação;15/33;966;23;1800 Kg / 0.50 MPa;Grama;;;;;;Interditado;19/05/2030;PA2020-1288;https://pergamum.anac.gov.br/arquivos/PA2020-1288.pdf
SWBG;MT0009;André Antônio Maggi;PONTES E LACERDA;Mato Grosso;Pontes e Lacerda;Mato Grosso;-15193333333;-59385277778;"15°11'36.0S""";"059°23'07.0W""";247;VFR;Sem Operação;01/19;1500;30;8/F/B/Y/T;Asfalto;;;;;;Interditado;07/05/2030;PA2020-1194;https://pergamum.anac.gov.br/arquivos/PA2020-1194.pdf
SNKR;PI0012;Corrente;CORRENTE;Piauí;Corrente;Piauí;-10451944444;-45136388889;"10°27'07.0S""";"045°08'11.0W""";473;VFR;Sem Operação;11/29;1000;20;2500 Kg / 0.50 MPa;Terra;;;;;;Interditado;;;
SWKO;AM0010;Coari;COARI;Amazonas;Coari;Amazonas;-4133888889;-63131111111;"04°08'02.0S""";"063°07'52.0W""";40;VFR;Sem Operação;10/28;1600;36;29/F/C/X/U;Asfalto;;;;;;Cadastrado;10/05/2026;PA2016-1115;https://pergamum.anac.gov.br/arquivos/PA2016-1115.pdf
SBPB;PI0002;Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho;PARNAÍBA;Piauí;Parnaíba;Piauí;-2893888889;-41730277778;"02°53'38.0S""";"041°43'49.0W""";5;VFR;VFR;10/28;2500;45;52/F/C/X/T;Asfalto;;;;;;Cadastrado;30/07/2023;PA2013-1946;https://pergamum.anac.gov.br/arquivos/PA2013-1946.pdf
SNGD;PI0005;Guadalupe;GUADALUPE;Piauí;Guadalupe;Piauí;-6782222222;-43582222222;"06°46'56.0S""";"043°34'56.0W""";172;VFR;Sem Operação;15/33;1600;36;9/F/C/X/U;Piçarra;;;;;;Cadastrado;;PD1970-0045;https://pergamum.anac.gov.br/arquivos/PD1970-0045.pdf
SNNU;MG0041;Nanuque;NANUQUE;Minas Gerais;Nanuque;Minas Gerais;-17823055556;-40329722222;"17°49'23.0S""";"040°19'47.0W""";210;VFR;Sem Operação;11/29;1220;23;13/F/C/Y/U;Asfalto;;;;;;Cadastrado;30/07/2028;PA2018-2331;https://pergamum.anac.gov.br/arquivos/PA2018-2331.pdf
SNJK;BA0047;Jequié;JEQUIÉ;Bahia;Jequié;Bahia;-13877777778;-40071388889;"13°52'40.0S""";"040°04'17.0W""";197;VFR;Sem Operação;14/32;1200;29;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;18/11/2024;PA2014-2695;https://pergamum.anac.gov.br/arquivos/PA2014-2695.pdf
SNZW;BA0063;Ituberá;ITUBERÁ;Bahia;Ituberá;Bahia;-13731666667;-39140555556;"13°43'54.0S""";"039°08'26.0W""";7;VFR;;10/28;850;20;6/F/B/Y/U;Cascalho;;;;;;Cadastrado;06/08/2025;PA2015-2105;https://pergamum.anac.gov.br/arquivos/PA2015-2105.pdf
SIBU;PB0012;Catolé do Rocha;CATOLÉ DO ROCHA;Paraíba;Catolé do Rocha;Paraíba;-6362500000;-37755277778;"06°21'45.0S""";"037°45'19.0W""";272;VFR;Sem Operação;11/29;800;18;10/F/B/Y/U;Asfalto;;;;;;Cadastrado;15/01/2028;PA2018-0072;https://pergamum.anac.gov.br/arquivos/PA2018-0072.pdf
SDTF;SP0050;Tatuí;TATUÍ;São Paulo;Tatuí;São Paulo;-23331944444;-47880000000;"23°19'55.0S""";"047°52'48.0W""";635;VFR;Sem Operação;14/32;1300;30;28/F/B/X/T;Terra;;;;;;Cadastrado;23/04/2030;PA2020-1084;https://pergamum.anac.gov.br/arquivos/PA2020-1084.pdf
SSCP;PR0015;Francisco Lacerda Júnior;CORNÉLIO PROCÓPIO;Paraná;Cornélio Procópio;Paraná;-23152500000;-50602500000;"23°09'09.0S""";"050°36'09.0W""";567;VFR;Sem Operação;06/24;1400;30;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;07/05/2030;PA2020-1192;https://pergamum.anac.gov.br/arquivos/PA2020-1192.pdf
SNLT;PI0010;Paulistana;PAULISTANA;Piauí;Paulistana;Piauí;-8166388889;-41153888889;"08°09'59.0S""";"041°09'14.0W""";360;VFR;Sem Operação;07/25;1060;30;2500 Kg / 0.50 MPa;Cascalho;;;;;;Interditado;;;
SSXX;SC0017;Municipal João Winckler;XANXERÊ;Santa Catarina;Xanxerê;Santa Catarina;-26875555556;-52373055556;"26°52'32.0S""";"052°22'23.0W""";910;VFR;VFR;18/36;1149;18;8/F/A/Y/T;Asfalto;;;;;;Cadastrado;24/03/2026;PA2016-0694;https://pergamum.anac.gov.br/arquivos/PA2016-0694.pdf
SSAE;RS0040;Arroio Grande;ARROIO GRANDE;Rio Grande do Sul;Arroio Grande;Rio Grande do Sul;-32229166667;-53055833333;"32°13'45.0S""";"053°03'21.0W""";49;VFR;Sem Operação;06/24;1000;18;5700 Kg / 0.50 MPa;Terra;;;;;;Cadastrado;27/09/2028;PA2018-2952;https://pergamum.anac.gov.br/arquivos/PA2018-2952.pdf
SJOG;RO0008;Ariquemes;ARIQUEMES;Rondônia;Ariquemes;Rondônia;-9880555556;-63047222222;"09°52'50.0S""";"063°02'50.0W""";142;VFR;Sem Operação;03/21;1306;18;25/F/C/Y/U;Asfalto;;;;;;Cadastrado;03/12/2030;PA2020-3473;https://pergamum.anac.gov.br/arquivos/PA2020-3473.pdf
SSGA;RS0020;Garibaldi;GARIBALDI;Rio Grande do Sul;Garibaldi;Rio Grande do Sul;-29268333333;-51532222222;"29°16'06.0S""";"051°31'56.0W""";680;VFR;Sem Operação;15/33;1200;30;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;23/06/2030;PA2020-1563;https://pergamum.anac.gov.br/arquivos/PA2020-1563.pdf
SNNE;MG0078;Sebastião Carlos Leite;SÃO JOÃO NEPOMUCENO;Minas Gerais;São João Nepomuceno;Minas Gerais;-21542222222;-43021111111;"21°32'32.0S""";"043°01'16.0W""";403;VFR;Sem Operação;11/29;620;40;3000 Kg / 0.50 MPa;Saibro;;;;;;Cadastrado;09/04/2030;PA2020-0975;https://pergamum.anac.gov.br/arquivos/PA2020-0975.pdf
SNYE;MA0004;Pinheiro;PINHEIRO;Maranhão;Pinheiro;Maranhão;-2477500000;-45105000000;"02°28'39.0S""";"045°06'18.0W""";20;VFR;Sem Operação;09/27;1740;30;29/F/C/X/T;Asfalto;;;;;;Interditado;17/03/2030;PA2020-0706;https://pergamum.anac.gov.br/arquivos/PA2020-0706.pdf
SNCT;MG0056;Caratinga;UBAPORANGA;Minas Gerais;Ubaporanga;Minas Gerais;-19725277778;-42111111111;"19°43'31.0S""";"042°06'40.0W""";599;VFR;;02/20;1080;23;5000 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;20/12/2026;PA2016-3721;https://pergamum.anac.gov.br/arquivos/PA2016-3721.pdf
SNLO;MG0037;São Lourenço;SÃO LOURENÇO;Minas Gerais;São Lourenço;Minas Gerais;-22091666667;-45045277778;"22°05'30.0S""";"045°02'43.0W""";875;VFR;Sem Operação;05/23;1300;30;14/F/B/X/T;Asfalto;;;;;;Cadastrado;;PD1983-0097;https://pergamum.anac.gov.br/arquivos/PD1983-0097.pdf
SBPF;RS0006;Lauro Kurtz;PASSO FUNDO;Rio Grande do Sul;Passo Fundo;Rio Grande do Sul;-28245277778;-52328611111;"28°14'43.0S""";"052°19'43.0W""";724;VFR / IFR Não Precisão;VFR / IFR Não Precisão;08/26;1700;30;29/F/A/X/T;Asfalto;;;;;;Cadastrado;05/12/2023;PA2013-3197;https://pergamum.anac.gov.br/arquivos/PA2013-3197.pdf
SSSB;RS0014;São Borja;SÃO BORJA;Rio Grande do Sul;São Borja;Rio Grande do Sul;-28654722222;-56034722222;"28°39'17.0S""";"056°02'05.0W""";80;VFR;Sem Operação;07/25;1500;30;17/F/C/Y/U;Asfalto;14/32;700;18;5700 Kg / 0.50 MPa;Grama;Cadastrado;15/07/2030;PA2020-1754;https://pergamum.anac.gov.br/arquivos/PA2020-1754.pdf
SDFX;BA0054;Casa Nova;CASA NOVA;Bahia;Casa Nova;Bahia;-9157500000;-40937500000;"09°09'27.0S""";"040°56'15.0W""";405;VFR;;12/30;1100;20;10/F/B/Y/U;Asfalto;;;;;;Cadastrado;10/03/2026;PA2016-0532;https://pergamum.anac.gov.br/arquivos/PA2016-0532.pdf
SSRU;RS0034;São Lourenço do Sul;SÃO LOURENÇO DO SUL;Rio Grande do Sul;São Lourenço do Sul;Rio Grande do Sul;-31384722222;-52032500000;"31°23'05.0S""";"052°01'57.0W""";27;VFR;Sem Operação;03/21;1055;18;5700 Kg / 0.50 MPa;Saibro;;;;;;Cadastrado;23/09/2030;PA2020-2448;https://pergamum.anac.gov.br/arquivos/PA2020-2448.pdf
SSEP;RS0031;São Sepé;SÃO SEPÉ;Rio Grande do Sul;São Sepé;Rio Grande do Sul;-30182222222;-53579444444;"30°10'56.0S""";"053°34'46.0W""";153;VFR;Sem Operação;14/32;1140;18;5700 Kg / 0.62 MPa;Terra;;;;;;Cadastrado;;PD1985-0073COMAR;https://pergamum.anac.gov.br/arquivos/PD1985-0073COMAR.pdf
SSIJ;RS0032;Ijuí;IJUÍ;Rio Grande do Sul;Ijuí;Rio Grande do Sul;-28368611111;-53846388889;"28°22'07.0S""";"053°50'47.0W""";365;VFR;VFR;18/36;1280;23;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;23/07/2030;PA2020-1835;https://pergamum.anac.gov.br/arquivos/PA2020-1835.pdf
SNIB;BA0045;Itaberaba;ITABERABA;Bahia;Itaberaba;Bahia;-12499722222;-40270277778;"12°29'59.0S""";"040°16'13.0W""";283;VFR;;14/32;1100;30;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;20/04/2028;PA2018-1228;https://pergamum.anac.gov.br/arquivos/PA2018-1228.pdf
SBCR;MS0009;Corumbá Internacional;CORUMBÁ;Mato Grosso do Sul;Corumbá;Mato Grosso do Sul;-19011944444;-57671388889;"19°00'43.0S""";"057°40'17.0W""";141;VFR / IFR Não Precisão;VFR / IFR Não Precisão;09/27;1500;45;71/F/C/X/T;Asfalto;;;;;;Cadastrado;22/03/2026;PA2016-0668;https://pergamum.anac.gov.br/arquivos/PA2016-0668.pdf
SBSN;PA0002;Maestro Wilson Fonseca;SANTARÉM;Pará;Santarém;Pará;-2424722222;-54785833333;"02°25'29.0S""";"054°47'09.0W""";60;VFR / IFR Não Precisão;VFR / IFR Não Precisão;10/28;2400;45;48/F/A/W/T;Asfalto;;;;;;Cadastrado;23/09/2030;PA2020-2416;https://pergamum.anac.gov.br/arquivos/PA2020-2416.pdf
SSVI;SC0011;Ângelo Ponzoni;VIDEIRA;Santa Catarina;Videira;Santa Catarina;-26999722222;-51141388889;"26°59'59.0S""";"051°08'29.0W""";840;VFR;Sem Operação;10/28;1400;23;11/F/A/Y/T;Asfalto;;;;;;Cadastrado;13/12/2028;PA2018-3718;https://pergamum.anac.gov.br/arquivos/PA2018-3718.pdf
SNMK;MG0017;Mocambinho;JAÍBA;Minas Gerais;Jaíba;Minas Gerais;-15093055556;-43979166667;"15°05'35.0S""";"043°58'45.0W""";450;VFR;Sem Operação;11/29;1531;30;14/F/A/Y/T;Asfalto;;;;;;Cadastrado;20/08/2030;PA2020-2078;https://pergamum.anac.gov.br/arquivos/PA2020-2078.pdf
SNTQ;BA0053;Buritirama;BURITIRAMA;Bahia;Buritirama;Bahia;-10721666667;-43653611111;"10°43'18.0S""";"043°39'13.0W""";499;VFR;;11/29;1102;29;5700 Kg / 0.50 MPa;Piçarra;;;;;;Cadastrado;30/10/2025;PA2015-2911;https://pergamum.anac.gov.br/arquivos/PA2015-2911.pdf
SWCA;AM0007;Carauari;CARAUARI;Amazonas;Carauari;Amazonas;-4871388889;-66897500000;"04°52'17.0S""";"066°53'51.0W""";108;VFR;Sem Operação;04/22;1665;18;12/F/C/Y/T;Asfalto;;;;;;Cadastrado;06/09/2027;PA2017-3045;https://pergamum.anac.gov.br/arquivos/PA2017-3045.pdf
SDIG;SP0038;Ibitinga;IBITINGA;São Paulo;Ibitinga;São Paulo;-21747222222;-48855833333;"21°44'50.0S""";"048°51'21.0W""";542;VFR;Sem Operação;13/31;1200;18;5600 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;23/04/2030;PA2020-1074;https://pergamum.anac.gov.br/arquivos/PA2020-1074.pdf
SNIT;BA0046;Ibotirama;IBOTIRAMA;Bahia;Ibotirama;Bahia;-12164444444;-43225555556;"12°09'52.0S""";"043°13'32.0W""";422;VFR;Sem Operação;16/34;1100;20;6/F/C/Y/U;Asfalto;;;;;;Cadastrado;11/01/2029;PA2019-0063;https://pergamum.anac.gov.br/arquivos/PA2019-0063.pdf
SWKC;MT0017;Cáceres;CÁCERES;Mato Grosso;Cáceres;Mato Grosso;-16042777778;-57629722222;"16°02'34.0S""";"057°37'47.0W""";150;VFR;VFR;18/36;1285;17;9/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1997-0889;https://pergamum.anac.gov.br/arquivos/PD1997-0889.pdf
SSPI;PR0010;Edu Chaves;PARANAVAÍ;Paraná;Paranavaí;Paraná;-23090000000;-52488611111;"23°05'24.0S""";"052°29'19.0W""";474;VFR;VFR;13/31;1500;30;13/F/C/Y/U;Asfalto;;;;;;Cadastrado;16/07/2025;PA2015-1832;https://pergamum.anac.gov.br/arquivos/PA2015-1832.pdf
SSLO;PR0031;Attillio Accorsi;LOANDA;Paraná;Loanda;Paraná;-22917777778;-53149722222;"22°55'04.0S""";"053°08'59.0W""";470;VFR;Sem Operação;05/23;1100;23;14/F/C/Y/U;Asfalto;;;;;;Interditado;;PD1980-0013;https://pergamum.anac.gov.br/arquivos/PD1980-0013.pdf
SNWS;CE0005;Crateús;CRATEÚS;Ceará;Crateús;Ceará;-5211111111;-40704166667;"05°12'40.0S""";"040°42'15.0W""";315;VFR;VFR;08/26;1500;30;12/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD2001-0798;https://pergamum.anac.gov.br/arquivos/PD2001-0798.pdf
SSRF;BA0034;Castro Alves;CASTRO ALVES;Bahia;Castro Alves;Bahia;-12765833333;-39451111111;"12°45'57.0S""";"039°27'04.0W""";261;VFR;Sem Operação;13/31;1300;21;8/F/C/Y/U;Cascalho;;;;;;Cadastrado;01/03/2028;PA2018-0664;https://pergamum.anac.gov.br/arquivos/PA2018-0664.pdf
SBIC;AM0012;Itacoatiara;ITACOATIARA;Amazonas;Itacoatiara;Amazonas;-3126388889;-58481666667;"03°07'35.0S""";"058°28'54.0W""";43;VFR / IFR Não Precisão;;14/32;1515;30;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;02/08/2028;PA2018-2359;https://pergamum.anac.gov.br/arquivos/PA2018-2359.pdf
SWFR;GO0014;Formosa;FORMOSA;Goiás;Formosa;Goiás;-15556111111;-47345277778;"15°33'22.0S""";"047°20'43.0W""";965;VFR;Sem Operação;05/23;1400;30;5700 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;01/09/2025;PA2015-2307;https://pergamum.anac.gov.br/arquivos/PA2015-2307.pdf
SDJO;SP0057;São Joaquim da Barra;SÃO JOAQUIM DA BARRA;São Paulo;São Joaquim da Barra;São Paulo;-20593333333;-47842222222;"20°35'36.0S""";"047°50'32.0W""";651;VFR;Sem Operação;14/32;1000;30;5600 Kg / 0.50 MPa;Terra;;;;;;Cadastrado;;PD1992-0338;https://pergamum.anac.gov.br/arquivos/PD1992-0338.pdf
SNRX;MA0009;Riachão;RIACHÃO;Maranhão;Riachão;Maranhão;-7350277778;-46633888889;"07°21'01.0S""";"046°38'02.0W""";400;VFR;Sem Operação;12/30;1200;40;6/F/C/Y/U;Terra;;;;;;Interditado;;;
SNOX;PA0014;Oriximiná;ORIXIMINÁ;Pará;Oriximiná;Pará;-1713611111;-55835833333;"01°42'49.0S""";"055°50'09.0W""";80;VFR;Sem Operação;17/35;1600;30;27/F/B/X/U;Asfalto;;;;;;Cadastrado;09/04/2030;PA2020-0969;https://pergamum.anac.gov.br/arquivos/PA2020-0969.pdf
SNSS;MG0029;Salinas;SALINAS;Minas Gerais;Salinas;Minas Gerais;-16208333333;-42321944444;"16°12'30.0S""";"042°19'19.0W""";763;VFR;Sem Operação;18/36;1480;30;8/F/B/Y/T;Asfalto;;;;;;Cadastrado;11/07/2029;PA2019-2065;https://pergamum.anac.gov.br/arquivos/PA2019-2065.pdf
SDNH;SP0060;Novo Horizonte;NOVO HORIZONTE;São Paulo;Novo Horizonte;São Paulo;-21497777778;-49234444444;"21°29'52.0S""";"049°14'04.0W""";465;VFR;Sem Operação;13/31;1000;20;5700 Kg / 0.50 MPa;Cascalho;;;;;;Cadastrado;17/06/2026;PA2016-1523;https://pergamum.anac.gov.br/arquivos/PA2016-1523.pdf
SWDM;MT0015;Diamantino;DIAMANTINO;Mato Grosso;Diamantino;Mato Grosso;-14376944444;-56400555556;"14°22'37.0S""";"056°24'02.0W""";450;VFR;Sem Operação;15/33;1480;18;13/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1995-0423;https://pergamum.anac.gov.br/arquivos/PD1995-0423.pdf
SSTB;SC0013;Três Barras;TRÊS BARRAS;Santa Catarina;Três Barras;Santa Catarina;-26132777778;-50309722222;"26°07'58.0S""";"050°18'35.0W""";780;VFR;;03/21;1370;18;5000 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;13/04/2030;PA2020-0977;https://pergamum.anac.gov.br/arquivos/PA2020-0977.pdf
